position_key,coach_id,candidate_name,current_role,current_side,target_position,target_side,degree,years_together,coach_value,connection_score
Defensive Coordinator_Defense,1722,Anthony Campanile,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,4,0.7515657620041754,1.8789144050104385
Defensive Coordinator_Defense,1877,Brian Flores,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,2,0.9958246346555324,1.4937369519832986
Defensive Coordinator_Defense,758,Matt Burke,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,2,0.9895615866388309,1.4843423799582462
Defensive Coordinator_Defense,1484,Daronte Jones,Specialist Coordinator,Defense,Defensive Coordinator,Defense,1,1,1,1
Defensive Coordinator_Defense,22,Vic Fangio,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,1,0.9144050104384134,0.9144050104384134
Offensive Coordinator_Offense,1604,Kevin Carberry,Specialist Coordinator,Offense,Offensive Coordinator,Offense,1,2,0.837160751565762,1.255741127348643
Offensive Coordinator_Offense,1034,Jon Embree,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.8173290545544311,1.2259935818316465
Offensive Coordinator_Offense,703,Eric Studesville,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,3,0.5645519624784004,1.129103924956801
Offensive Coordinator_Offense,2325,Jordan Somerville,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,1,0.9523574426067638,0.9523574426067638
Offensive Coordinator_Offense,1439,Skip Peete,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.6260182670945446,0.9390274006418169
Position Coach - Defense_Defense,819,Frank Bush,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.5773882991853864,0.8660824487780796
Position Coach - Defense_Defense,908,Kevin Ross,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.5383855838064675,0.8075783757097013
Position Coach - Defense_Defense,910,Nick Rapone,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.5383855838064675,0.8075783757097013
Position Coach - Defense_Defense,2323,Rashad Johnson,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.5383855838064675,0.8075783757097013
Position Coach - Defense_Defense,1428,Jeremiah Washburn,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.7042705504813627,0.7042705504813627
Position Coach - Offense_Offense,703,Eric Studesville,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,3,0.5645519624784004,1.129103924956801
Position Coach - Offense_Offense,2325,Jordan Somerville,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,1,0.9523574426067638,0.9523574426067638
Position Coach - Offense_Offense,1439,Skip Peete,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.6260182670945446,0.9390274006418169
