position_key,coach_id,candidate_name,current_role,current_side,target_position,target_side,degree,years_together,coach_value,connection_score
Defensive Coordinator_Defense,1877,Brian Flores,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,2,0.9958246346555324,1.4937369519832986
Defensive Coordinator_Defense,2035,Austin Clark,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,4,0.3994075536904468,0.998518884226117
Defensive Coordinator_Defense,22,Vic Fangio,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,1,0.9144050104384134,0.9144050104384134
Defensive Coordinator_Defense,1315,Tem Lukabu,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,1,0.8760799802517897,0.8760799802517897
Defensive Coordinator_Defense,1845,Kevin Wilkins,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,1,0.8760799802517897,0.8760799802517897
Offensive Coordinator_Offense,2048,Josh Grizzard,Offensive Coordinator,Offense,Offensive Coordinator,Offense,1,4,0.9018789144050104,2.2546972860125263
Offensive Coordinator_Offense,703,Eric Studesville,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,4,0.5645519624784004,1.411379906196001
Offensive Coordinator_Offense,1034,Jon Embree,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.8173290545544311,1.2259935818316465
Offensive Coordinator_Offense,631,Spencer Whipple,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,1,0.9335966428042458,0.9335966428042458
Offensive Coordinator_Offense,1714,Adam Stenavich,Offensive Coordinator,Offense,Offensive Coordinator,Offense,1,1,0.9269311064718163,0.9269311064718163
Position Coach - Defense_Defense,1315,Tem Lukabu,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.8760799802517897,0.8760799802517897
Position Coach - Defense_Defense,1845,Kevin Wilkins,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.8760799802517897,0.8760799802517897
Position Coach - Defense_Defense,1721,Anthony Perkins,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.5038262157491977,0.7557393236237966
Position Coach - Defense_Defense,1558,Ryan Downard,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.722290792396939,0.722290792396939
Position Coach - Defense_Defense,1220,Jason Rebrovich,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.6966181189829672,0.6966181189829672
Position Coach - Offense_Offense,1034,Jon Embree,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.8173290545544311,1.2259935818316465
Position Coach - Offense_Offense,631,Spencer Whipple,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,1,0.9335966428042458,0.9335966428042458
Position Coach - Offense_Offense,1965,Lemuel Jeanpierre,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,4,0.3520118489261911,0.8800296223154778
Position Coach - Offense_Offense,1062,Shawn Flaherty,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,1,0.8588002962231548,0.8588002962231548
Position Coach - Offense_Offense,1716,Ryan Mahaffey,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,1,0.8565786225623303,0.8565786225623303
Position Coach - Special Teams_Special Teams,1706,Cory Harkey,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0
Position Coach - Special Teams_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,1,1,NA,0
Specialist Coach_Defense,9,Dom Capers,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,66,John Pagano,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,112,Bill Johnson,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,475,Louie Cioffi,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,488,Mark Duffner,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Offense,60,Tom Moore,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,503,Blaine Gautier,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,532,Mike Sullivan,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,715,Joe Philbin,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,760,Rob Grosso,Specialist Coach,Offense,Specialist Coach,Offense,1,1,NA,0
Specialist Coach_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Specialist Coach,Special Teams,1,1,NA,0
Specialist Coordinator_Defense,2035,Austin Clark,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,4,0.3994075536904468,0.998518884226117
Specialist Coordinator_Defense,1315,Tem Lukabu,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,1,0.8760799802517897,0.8760799802517897
Specialist Coordinator_Defense,1845,Kevin Wilkins,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,1,0.8760799802517897,0.8760799802517897
Specialist Coordinator_Defense,1191,Rob Leonard,Specialist Coordinator,Defense,Specialist Coordinator,Defense,1,2,0.5636743215031315,0.8455114822546972
Specialist Coordinator_Defense,1721,Anthony Perkins,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,2,0.5038262157491977,0.7557393236237966
Specialist Coordinator_Offense,703,Eric Studesville,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,4,0.5645519624784004,1.411379906196001
Specialist Coordinator_Offense,1034,Jon Embree,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,2,0.8173290545544311,1.2259935818316465
Specialist Coordinator_Offense,631,Spencer Whipple,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,1,0.9335966428042458,0.9335966428042458
Specialist Coordinator_Offense,1965,Lemuel Jeanpierre,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,4,0.3520118489261911,0.8800296223154778
Specialist Coordinator_Offense,1255,Jason Vrable,Specialist Coordinator,Offense,Specialist Coordinator,Offense,1,1,0.860125260960334,0.860125260960334
Specialist Coordinator_Special Teams,507,Jeff Rodgers,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
Specialist Coordinator_Special Teams,670,Darrin Simmons,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
Specialist Coordinator_Special Teams,675,Danny Crossman,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,4,NA,0
Specialist Coordinator_Special Teams,706,Danny Smith,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
Specialist Coordinator_Special Teams,1030,Marquice Williams,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
