position_key,coach_id,candidate_name,current_role,current_side,target_position,target_side,degree,years_together,coach_value,connection_score
Defensive Coordinator_Defense,819,Frank Bush,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,5,0.5773882991853864,1.4434707479634659
Defensive Coordinator_Defense,1088,Jon Hoke,Specialist Coordinator,Defense,Defensive Coordinator,Defense,1,2,0.9206680584551148,1.3810020876826723
Defensive Coordinator_Defense,1672,Terrell Williams,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,3,0.605427974947808,1.210855949895616
Defensive Coordinator_Defense,1264,Karl Dunbar,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,2,0.7027894347074797,1.0541841520612194
Defensive Coordinator_Defense,113,Gregg Williams,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,1,0.9526042952357443,0.9526042952357443
Offensive Coordinator_Offense,1067,Dave Ragone,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,6,0.9412490743026414,2.3531226857566034
Offensive Coordinator_Offense,1400,Luke Steckel,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,6,0.8773142433966922,2.1932856084917303
Offensive Coordinator_Offense,1274,Rob Moore,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,3,0.7941249074302641,1.5882498148605282
Offensive Coordinator_Offense,2269,Eddie Faulkner,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.9767958528758331,1.4651937793137497
Offensive Coordinator_Offense,1259,Pat Meyer,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.8666995803505307,1.300049370525796
Position Coach - Defense_Defense,1264,Karl Dunbar,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.7027894347074797,1.0541841520612194
Position Coach - Defense_Defense,113,Gregg Williams,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.9526042952357443,0.9526042952357443
Position Coach - Defense_Defense,2253,Tracy Rocker,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,3,0.4640829424833374,0.9281658849666748
Position Coach - Defense_Defense,1232,Scott Booker,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.830165391261417,0.830165391261417
Position Coach - Defense_Defense,1074,Matt Pees,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,5,0.2379659343372007,0.5949148358430018
Position Coach - Offense_Offense,1274,Rob Moore,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,3,0.7941249074302641,1.5882498148605282
Position Coach - Offense_Offense,2269,Eddie Faulkner,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.9767958528758331,1.4651937793137497
Position Coach - Offense_Offense,1259,Pat Meyer,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.8666995803505307,1.300049370525796
Position Coach - Offense_Offense,2270,Isaac Williams,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.8666995803505307,1.300049370525796
Position Coach - Offense_Offense,848,Todd Downing,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.808936065169094,1.2134040977536409
Position Coach - Special Teams_Special Teams,1706,Cory Harkey,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0
Position Coach - Special Teams_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0
Specialist Coach_Defense,1,Alec Osborne,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,9,Dom Capers,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,66,John Pagano,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,112,Bill Johnson,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,290,Peter Giunta,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Offense,60,Tom Moore,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,330,Marc Trestman,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,350,Ken Zampese,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,503,Blaine Gautier,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,532,Mike Sullivan,Specialist Coach,Offense,Specialist Coach,Offense,1,7,NA,0
Specialist Coach_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Specialist Coach,Special Teams,2,0,NA,0
Specialist Coordinator_Defense,1088,Jon Hoke,Specialist Coordinator,Defense,Specialist Coordinator,Defense,1,2,0.9206680584551148,1.3810020876826723
Specialist Coordinator_Defense,1264,Karl Dunbar,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,2,0.7027894347074797,1.0541841520612194
Specialist Coordinator_Defense,113,Gregg Williams,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,1,0.9526042952357443,0.9526042952357443
Specialist Coordinator_Defense,2253,Tracy Rocker,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,3,0.4640829424833374,0.9281658849666748
Specialist Coordinator_Defense,1232,Scott Booker,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,1,0.830165391261417,0.830165391261417
Specialist Coordinator_Offense,1400,Luke Steckel,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,6,0.8773142433966922,2.1932856084917303
Specialist Coordinator_Offense,1274,Rob Moore,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,3,0.7941249074302641,1.5882498148605282
Specialist Coordinator_Offense,2269,Eddie Faulkner,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,2,0.9767958528758331,1.4651937793137497
Specialist Coordinator_Offense,1259,Pat Meyer,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,2,0.8666995803505307,1.300049370525796
Specialist Coordinator_Offense,2270,Isaac Williams,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,2,0.8666995803505307,1.300049370525796
Specialist Coordinator_Special Teams,507,Jeff Rodgers,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
Specialist Coordinator_Special Teams,675,Danny Crossman,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
Specialist Coordinator_Special Teams,706,Danny Smith,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,2,NA,0
Specialist Coordinator_Special Teams,1030,Marquice Williams,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,3,NA,0
Specialist Coordinator_Special Teams,1118,Ben Kotwica,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
