position_key,coach_id,candidate_name,current_role,current_side,target_position,target_side,degree,years_together,coach_value,connection_score
Defensive Coordinator_Defense,651,Chris Beake,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,4,0.8588002962231548,2.147000740557887
Defensive Coordinator_Defense,113,Gregg Williams,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,3,0.9526042952357443,1.9052085904714886
Defensive Coordinator_Defense,2009,Joe Coniglio,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,3,0.9526042952357443,1.9052085904714886
Defensive Coordinator_Defense,1757,Bobby King,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,2,0.8847198222661071,1.3270797333991606
Defensive Coordinator_Defense,1298,Jonathan Cooley,Specialist Coordinator,Defense,Defensive Coordinator,Defense,1,2,0.5678496868475992,0.8517745302713988
Offensive Coordinator_Offense,1560,Aubrey Pleasant,Specialist Coordinator,Offense,Offensive Coordinator,Offense,1,7,0.7473903966597077,1.8684759916492695
Offensive Coordinator_Offense,979,Eric Yarber,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,4,0.7457417921500864,1.8643544803752161
Offensive Coordinator_Offense,2010,Mike LaFleur,Offensive Coordinator,Offense,Offensive Coordinator,Offense,1,3,0.9290187891440501,1.8580375782881002
Offensive Coordinator_Offense,2012,Ron Gould,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,3,0.7684522340162923,1.5369044680325845
Offensive Coordinator_Offense,1240,Ryan Wendell,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,3,0.738583065909652,1.477166131819304
Position Coach - Defense_Defense,2009,Joe Coniglio,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,3,0.9526042952357443,1.9052085904714886
Position Coach - Defense_Defense,1757,Bobby King,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.8847198222661071,1.3270797333991606
Position Coach - Defense_Defense,1017,Ron Milus,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.5038262157491977,0.7557393236237966
Position Coach - Defense_Defense,1293,A.C. Carter,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.6551468773142434,0.6551468773142434
