position_key,coach_id,candidate_name,current_role,current_side,target_position,target_side,degree,years_together,coach_value,connection_score
Defensive Coordinator_Defense,113,Gregg Williams,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,4,0.9526042952357443,2.3815107380893608
Defensive Coordinator_Defense,819,Frank Bush,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,6,0.5773882991853864,1.4434707479634659
Defensive Coordinator_Defense,2253,Tracy Rocker,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,3,0.4640829424833374,0.9281658849666748
Defensive Coordinator_Defense,1521,Ben Bloom,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,2,0.5773882991853864,0.8660824487780796
Defensive Coordinator_Defense,1428,Jeremiah Washburn,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,1,0.7042705504813627,0.7042705504813627
Offensive Coordinator_Offense,1227,Rob Boras,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,4,0.9842014317452481,2.4605035793631203
Offensive Coordinator_Offense,1704,Ben Sirmans,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,4,0.6588496667489508,1.647124166872377
Offensive Coordinator_Offense,1608,Jim Bob Cooter,Offensive Coordinator,Offense,Offensive Coordinator,Offense,1,2,0.964509394572025,1.4467640918580376
Offensive Coordinator_Offense,1255,Jason Vrable,Specialist Coordinator,Offense,Offensive Coordinator,Offense,1,2,0.860125260960334,1.290187891440501
Offensive Coordinator_Offense,2346,Luke Stocker,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.7417921500863984,1.1126882251295975
Position Coach - Defense_Defense,2253,Tracy Rocker,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,3,0.4640829424833374,0.9281658849666748
Position Coach - Defense_Defense,1521,Ben Bloom,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.5773882991853864,0.8660824487780796
Position Coach - Defense_Defense,1428,Jeremiah Washburn,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.7042705504813627,0.7042705504813627
Position Coach - Defense_Defense,1335,Frank Okam,Position Coach - Defense,Defense,Position Coach - Defense,Defense,2,0,0.9854356948901506,0.4927178474450753
Position Coach - Defense_Defense,2009,Joe Coniglio,Position Coach - Defense,Defense,Position Coach - Defense,Defense,2,0,0.9526042952357443,0.47630214761787215
Position Coach - Offense_Offense,2346,Luke Stocker,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.7417921500863984,1.1126882251295975
Position Coach - Offense_Offense,2349,Scott Fuchs,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.6200938039990126,0.930140705998519
Position Coach - Offense_Offense,1434,Bo Hardegree,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.5606023204147124,0.8409034806220685
Position Coach - Offense_Offense,1798,Payton McCollum,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.5606023204147124,0.8409034806220685
Position Coach - Offense_Offense,704,Tyke Tolbert,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.5016045420883732,0.7524068131325599
Position Coach - Special Teams_Special Teams,1625,Zach Line,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0
Position Coach - Special Teams_Special Teams,1706,Cory Harkey,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0
Position Coach - Special Teams_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0
