position_key,coach_id,candidate_name,current_role,current_side,target_position,target_side,degree,years_together,coach_value,connection_score
Defensive Coordinator_Defense,1986,Steve Clinkscale,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,2,0.7447543816341644,1.1171315724512465
Defensive Coordinator_Defense,1181,Chris Hewitt,Specialist Coordinator,Defense,Defensive Coordinator,Defense,1,3,0.5052192066805845,1.010438413361169
Defensive Coordinator_Defense,1988,Chris O'Leary,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,1,0.7472229079239694,0.7472229079239694
Defensive Coordinator_Defense,1977,Adam Fuller,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,1,0.7447543816341644,0.7447543816341644
Defensive Coordinator_Defense,1983,NaVorro Bowman,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,2,0.4401382374722291,0.6602073562083436
Offensive Coordinator_Offense,1981,Kiel McDonald,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.8973093063441125,1.3459639595161688
Offensive Coordinator_Offense,1198,Andy Bischoff,Specialist Coordinator,Offense,Offensive Coordinator,Offense,1,2,0.8475991649269311,1.2713987473903967
Offensive Coordinator_Offense,1260,Sanjay Lal,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.7558627499382868,1.1337941249074301
Offensive Coordinator_Offense,683,Greg Roman,Offensive Coordinator,Offense,Offensive Coordinator,Offense,1,4,0.3862212943632568,0.965553235908142
Offensive Coordinator_Offense,1197,Richard Angulo,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,1,0.6015798568254752,0.6015798568254752
Position Coach - Defense_Defense,1988,Chris O'Leary,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.7472229079239694,0.7472229079239694
Position Coach - Defense_Defense,1977,Adam Fuller,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.7447543816341644,0.7447543816341644
Position Coach - Defense_Defense,1983,NaVorro Bowman,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.4401382374722291,0.6602073562083436
Position Coach - Defense_Defense,113,Gregg Williams,Position Coach - Defense,Defense,Position Coach - Defense,Defense,2,0,0.9526042952357443,0.47630214761787215
Position Coach - Defense_Defense,2009,Joe Coniglio,Position Coach - Defense,Defense,Position Coach - Defense,Defense,2,0,0.9526042952357443,0.47630214761787215
Position Coach - Offense_Offense,1260,Sanjay Lal,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.7558627499382868,1.1337941249074301
Position Coach - Offense_Offense,1197,Richard Angulo,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,1,0.6015798568254752,0.6015798568254752
Position Coach - Offense_Offense,1067,Dave Ragone,Position Coach - Offense,Offense,Position Coach - Offense,Offense,2,0,0.9412490743026414,0.4706245371513207
Position Coach - Offense_Offense,1794,Tom Manning,Position Coach - Offense,Offense,Position Coach - Offense,Offense,2,0,0.9247099481609479,0.46235497408047393
Position Coach - Offense_Offense,330,Marc Trestman,Specialist Coach,Offense,Position Coach - Offense,Offense,1,2,NA,0.44999999999999996
Specialist Coach_Defense,1641,Mike Hiestand,Specialist Coach,Defense,Specialist Coach,Defense,1,2,NA,0.44999999999999996
Specialist Coach_Defense,1985,Robert Muschamp,Specialist Coach,Defense,Specialist Coach,Defense,1,2,NA,0.44999999999999996
Specialist Coach_Defense,583,Chuck Pagano,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0.15
Specialist Coach_Defense,614,Jason Brooks,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0.15
Specialist Coach_Defense,724,Ben McAdoo,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0.15
Specialist Coach_Offense,330,Marc Trestman,Specialist Coach,Offense,Specialist Coach,Offense,1,2,NA,0.44999999999999996
Specialist Coach_Offense,1979,Jeff Carpenter,Specialist Coach,Offense,Specialist Coach,Offense,1,2,NA,0.44999999999999996
Specialist Coach_Offense,1980,Josh Hammond,Specialist Coach,Offense,Specialist Coach,Offense,1,1,NA,0.3
Specialist Coach_Offense,1989,Jonathan Goodwin,Specialist Coach,Offense,Specialist Coach,Offense,1,1,NA,0.3
Specialist Coach_Offense,1990,Phil Serchia,Specialist Coach,Offense,Specialist Coach,Offense,1,1,NA,0.3
Specialist Coordinator_Defense,1181,Chris Hewitt,Specialist Coordinator,Defense,Specialist Coordinator,Defense,1,3,0.5052192066805845,1.010438413361169
Specialist Coordinator_Defense,1988,Chris O'Leary,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,1,0.7472229079239694,0.7472229079239694
Specialist Coordinator_Defense,1977,Adam Fuller,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,1,0.7447543816341644,0.7447543816341644
Specialist Coordinator_Defense,1983,NaVorro Bowman,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,2,0.4401382374722291,0.6602073562083436
Specialist Coordinator_Defense,2090,Karl Scott,Specialist Coordinator,Defense,Specialist Coordinator,Defense,2,0,0.9958246346555324,0.4979123173277662
Specialist Coordinator_Offense,1198,Andy Bischoff,Specialist Coordinator,Offense,Specialist Coordinator,Offense,1,2,0.8475991649269311,1.2713987473903967
Specialist Coordinator_Offense,1260,Sanjay Lal,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,2,0.7558627499382868,1.1337941249074301
Specialist Coordinator_Offense,1197,Richard Angulo,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,1,0.6015798568254752,0.6015798568254752
Specialist Coordinator_Offense,1715,Derrick Ansley,Specialist Coordinator,Offense,Specialist Coordinator,Offense,2,0,0.9791231732776617,0.48956158663883087
Specialist Coordinator_Offense,1790,Alex Tanney,Specialist Coordinator,Offense,Specialist Coordinator,Offense,2,0,0.9561586638830898,0.4780793319415449
Specialist Coordinator_Special Teams,1821,Ryan Ficken,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,2,NA,0.44999999999999996
Specialist Coordinator_Special Teams,1180,Chris Horton,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,1,NA,0.3
Specialist Coordinator_Special Teams,675,Danny Crossman,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0.15
Specialist Coordinator_Special Teams,1118,Ben Kotwica,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0.15
Specialist Coordinator_Special Teams,1148,Dave Toub,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0.15
