position_key,coach_id,candidate_name,current_role,current_side,target_position,target_side,degree,years_together,coach_value,connection_score
Defensive Coordinator_Defense,758,Matt Burke,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,5,0.9895615866388309,2.473903966597077
Defensive Coordinator_Defense,529,Cory Undlin,Specialist Coordinator,Defense,Defensive Coordinator,Defense,1,4,0.9812108559498957,2.453027139874739
Defensive Coordinator_Defense,1740,Dino Vasso,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,5,0.9252036534189089,2.313009133547272
Defensive Coordinator_Defense,978,Jason Tarver,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,3,0.9242162429029869,1.8484324858059737
Defensive Coordinator_Defense,1242,Jacques Cesaire,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,2,0.9518637373488028,1.4277956060232042
Offensive Coordinator_Offense,1504,Duce Staley,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,7,0.8743520118489262,2.1858800296223153
Offensive Coordinator_Offense,848,Todd Downing,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,6,0.808936065169094,2.022340162922735
Offensive Coordinator_Offense,1274,Rob Moore,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,3,0.7941249074302641,1.5882498148605282
Offensive Coordinator_Offense,2246,Jeff Stoutland,Specialist Coordinator,Offense,Offensive Coordinator,Offense,1,5,0.6283924843423799,1.5709812108559498
Offensive Coordinator_Offense,1516,Ashton Grant,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.9876573685509751,1.4814860528264626
Position Coach - Defense_Defense,1740,Dino Vasso,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,5,0.9252036534189089,2.313009133547272
Position Coach - Defense_Defense,978,Jason Tarver,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,3,0.9242162429029869,1.8484324858059737
Position Coach - Defense_Defense,1242,Jacques Cesaire,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.9518637373488028,1.4277956060232042
Position Coach - Defense_Defense,1428,Jeremiah Washburn,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,3,0.7042705504813627,1.4085411009627253
Position Coach - Defense_Defense,1232,Scott Booker,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.830165391261417,1.2452480868921254
Position Coach - Offense_Offense,1274,Rob Moore,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,3,0.7941249074302641,1.5882498148605282
Position Coach - Offense_Offense,1516,Ashton Grant,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.9876573685509751,1.4814860528264626
Position Coach - Offense_Offense,1597,Kyle Valero,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,3,0.732164897556159,1.464329795112318
Position Coach - Offense_Offense,1390,Jason Houghtaling,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.8945939274253271,1.3418908911379905
Position Coach - Offense_Offense,1614,Evan Rothstein,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.8792890644285362,1.3189335966428042
Position Coach - Special Teams_Special Teams,1625,Zach Line,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0.15
Position Coach - Special Teams_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0.15
Position Coach - Special Teams_Special Teams,2292,Ronald Blair III,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0.15
Specialist Coach_Defense,1506,Jeff Anderson,Specialist Coach,Defense,Specialist Coach,Defense,1,3,NA,0.6
Specialist Coach_Defense,1514,Zach Dunn,Specialist Coach,Defense,Specialist Coach,Defense,1,3,NA,0.6
Specialist Coach_Defense,9,Dom Capers,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0.15
Specialist Coach_Defense,66,John Pagano,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0.15
Specialist Coach_Defense,112,Bill Johnson,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0.15
Specialist Coach_Offense,867,Scott Linehan,Specialist Coach,Offense,Specialist Coach,Offense,1,3,NA,0.6
Specialist Coach_Offense,1483,Alex Van Pelt,Specialist Coach,Offense,Specialist Coach,Offense,1,1,NA,0.3
Specialist Coach_Offense,60,Tom Moore,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0.15
Specialist Coach_Offense,350,Ken Zampese,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0.15
Specialist Coach_Offense,532,Mike Sullivan,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0.15
