position_key,coach_id,candidate_name,current_role,current_side,target_position,target_side,degree,years_together,coach_value,connection_score
Defensive Coordinator_Defense,113,Gregg Williams,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,4,0.9526042952357443,2.3815107380893608
Defensive Coordinator_Defense,763,Vance Joseph,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,4,0.8580375782881002,2.1450939457202507
Defensive Coordinator_Defense,593,Billy Davis,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,4,0.6578622562330289,1.644655640582572
Defensive Coordinator_Defense,757,Marcus Robertson,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,4,0.5805973833621328,1.451493458405332
Defensive Coordinator_Defense,758,Matt Burke,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,1,0.9895615866388309,0.9895615866388309
Offensive Coordinator_Offense,631,Spencer Whipple,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,4,0.9335966428042458,2.3339916070106144
Offensive Coordinator_Offense,2251,Brian Johnson,Specialist Coordinator,Offense,Offensive Coordinator,Offense,1,2,0.8810020876826722,1.3215031315240082
Offensive Coordinator_Offense,663,Brian Natkin,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,4,0.5053073315230807,1.2632683288077018
Offensive Coordinator_Offense,764,Steve Heiden,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,4,0.5053073315230807,1.2632683288077018
Offensive Coordinator_Offense,527,Anthony Lynn,Specialist Coordinator,Offense,Offensive Coordinator,Offense,1,2,0.7724425887265136,1.1586638830897704
Position Coach - Defense_Defense,757,Marcus Robertson,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,4,0.5805973833621328,1.451493458405332
Position Coach - Defense_Defense,1588,Sharrif Floyd,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.536657615403604,0.804986423105406
Position Coach - Defense_Defense,2295,Darryl Tapp,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.536657615403604,0.804986423105406
Position Coach - Defense_Defense,664,Charlie Bullen,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,4,0.2814119970377685,0.7035299925944212
Position Coach - Defense_Defense,1992,Tom Donatell,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.46087385830659094,0.6913107874598864
Position Coach - Offense_Offense,663,Brian Natkin,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,4,0.5053073315230807,1.2632683288077018
Position Coach - Offense_Offense,764,Steve Heiden,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,4,0.5053073315230807,1.2632683288077018
Position Coach - Offense_Offense,776,Jim Dray,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.62873364601333,0.9431004690199951
Position Coach - Offense_Offense,666,Cameron Turner,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,4,0.3517649962972106,0.8794124907430265
Position Coach - Offense_Offense,1241,Bobby Johnson,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.46976055294988894,0.7046408294248334
Position Coach - Special Teams_Special Teams,1625,Zach Line,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0
Position Coach - Special Teams_Special Teams,1706,Cory Harkey,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0
Position Coach - Special Teams_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0
Specialist Coach_Defense,1,Alec Osborne,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,9,Dom Capers,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,66,John Pagano,Specialist Coach,Defense,Specialist Coach,Defense,1,2,NA,0
Specialist Coach_Defense,112,Bill Johnson,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,130,Joe Vitt,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Offense,330,Marc Trestman,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,503,Blaine Gautier,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,532,Mike Sullivan,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,571,Pete Carmichael,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,715,Joe Philbin,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Special Teams,1706,Cory Harkey,Specialist Coach,Special Teams,Specialist Coach,Special Teams,2,0,NA,0
Specialist Coach_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Specialist Coach,Special Teams,2,0,NA,0
Specialist Coordinator_Defense,593,Billy Davis,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,4,0.6578622562330289,1.644655640582572
Specialist Coordinator_Defense,757,Marcus Robertson,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,4,0.5805973833621328,1.451493458405332
Specialist Coordinator_Defense,1588,Sharrif Floyd,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,2,0.536657615403604,0.804986423105406
Specialist Coordinator_Defense,2295,Darryl Tapp,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,2,0.536657615403604,0.804986423105406
Specialist Coordinator_Defense,664,Charlie Bullen,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,4,0.2814119970377685,0.7035299925944212
Specialist Coordinator_Offense,2251,Brian Johnson,Specialist Coordinator,Offense,Specialist Coordinator,Offense,1,2,0.8810020876826722,1.3215031315240082
Specialist Coordinator_Offense,663,Brian Natkin,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,4,0.5053073315230807,1.2632683288077018
Specialist Coordinator_Offense,764,Steve Heiden,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,4,0.5053073315230807,1.2632683288077018
Specialist Coordinator_Offense,527,Anthony Lynn,Specialist Coordinator,Offense,Specialist Coordinator,Offense,1,2,0.7724425887265136,1.1586638830897704
Specialist Coordinator_Offense,776,Jim Dray,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,2,0.62873364601333,0.9431004690199951
Specialist Coordinator_Special Teams,507,Jeff Rodgers,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,4,NA,0
Specialist Coordinator_Special Teams,670,Darrin Simmons,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
Specialist Coordinator_Special Teams,675,Danny Crossman,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
Specialist Coordinator_Special Teams,1118,Ben Kotwica,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
Specialist Coordinator_Special Teams,1180,Chris Horton,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
