position_key,coach_id,candidate_name,current_role,current_side,target_position,target_side,degree,years_together,coach_value,connection_score
Defensive Coordinator_Defense,1106,Aden Durde,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,3,1,2
Defensive Coordinator_Defense,1368,Al Harris,Specialist Coordinator,Defense,Defensive Coordinator,Defense,1,5,0.47599164926931103,1.1899791231732775
Defensive Coordinator_Defense,1701,Patrick Graham,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,1,0.8308977035490606,0.8308977035490606
Defensive Coordinator_Defense,1558,Ryan Downard,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,1,0.722290792396939,0.722290792396939
Defensive Coordinator_Defense,726,Scott McCurley,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,13,0.27622809182917796,0.6905702295729449
Offensive Coordinator_Offense,1584,Scott Tolzien,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,5,0.8741051592199457,2.185262898049864
Offensive Coordinator_Offense,732,Edgar Bennett,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,7,0.804492717847445,2.0112317946186127
Offensive Coordinator_Offense,1704,Ben Sirmans,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,3,0.6588496667489508,1.3176993334979017
Offensive Coordinator_Offense,1439,Skip Peete,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,3,0.6260182670945446,1.2520365341890891
Offensive Coordinator_Offense,1533,Jeff Blasko,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,6,0.44729696371266353,1.1182424092816587
Position Coach - Defense_Defense,1558,Ryan Downard,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.722290792396939,0.722290792396939
Position Coach - Defense_Defense,726,Scott McCurley,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,13,0.27622809182917796,0.6905702295729449
Position Coach - Defense_Defense,572,George Edwards,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,3,0.270797333991607,0.541594667983214
Position Coach - Defense_Defense,1588,Sharrif Floyd,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.536657615403604,0.536657615403604
Position Coach - Defense_Defense,1335,Frank Okam,Position Coach - Defense,Defense,Position Coach - Defense,Defense,2,0,0.9854356948901506,0.4927178474450753
Position Coach - Offense_Offense,1704,Ben Sirmans,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,3,0.6588496667489508,1.3176993334979017
Position Coach - Offense_Offense,1439,Skip Peete,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,3,0.6260182670945446,1.2520365341890891
Position Coach - Offense_Offense,1533,Jeff Blasko,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,6,0.44729696371266353,1.1182424092816587
Position Coach - Offense_Offense,652,Robert Prince,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,3,0.5536904468032584,1.1073808936065168
Position Coach - Offense_Offense,19,Tom Clements,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,4,0.4073068378178228,1.0182670945445569
Position Coach - Special Teams_Special Teams,1706,Cory Harkey,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0
Position Coach - Special Teams_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0
Specialist Coach_Defense,1,Alec Osborne,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,9,Dom Capers,Specialist Coach,Defense,Specialist Coach,Defense,1,7,NA,0
Specialist Coach_Defense,66,John Pagano,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,112,Bill Johnson,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,290,Peter Giunta,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Offense,60,Tom Moore,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,350,Ken Zampese,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,503,Blaine Gautier,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,532,Mike Sullivan,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,715,Joe Philbin,Specialist Coach,Offense,Specialist Coach,Offense,1,5,NA,0
Specialist Coach_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Specialist Coach,Special Teams,2,0,NA,0
Specialist Coordinator_Defense,1368,Al Harris,Specialist Coordinator,Defense,Specialist Coordinator,Defense,1,5,0.47599164926931103,1.1899791231732775
Specialist Coordinator_Defense,1558,Ryan Downard,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,1,0.722290792396939,0.722290792396939
Specialist Coordinator_Defense,726,Scott McCurley,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,13,0.27622809182917796,0.6905702295729449
Specialist Coordinator_Defense,572,George Edwards,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,3,0.270797333991607,0.541594667983214
Specialist Coordinator_Defense,1588,Sharrif Floyd,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,1,0.536657615403604,0.536657615403604
Specialist Coordinator_Offense,732,Edgar Bennett,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,7,0.804492717847445,2.0112317946186127
Specialist Coordinator_Offense,1704,Ben Sirmans,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,3,0.6588496667489508,1.3176993334979017
Specialist Coordinator_Offense,1439,Skip Peete,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,3,0.6260182670945446,1.2520365341890891
Specialist Coordinator_Offense,1533,Jeff Blasko,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,6,0.44729696371266353,1.1182424092816587
Specialist Coordinator_Offense,652,Robert Prince,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,3,0.5536904468032584,1.1073808936065168
Specialist Coordinator_Special Teams,507,Jeff Rodgers,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
Specialist Coordinator_Special Teams,670,Darrin Simmons,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
