position_key,coach_id,candidate_name,current_role,current_side,target_position,target_side,degree,years_together,coach_value,connection_score
Defensive Coordinator_Defense,1264,Karl Dunbar,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,8,0.7027894347074797,1.7569735867686993
Defensive Coordinator_Defense,608,Randy Brown,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,4,0.42557393236237967,1.063934830905949
Defensive Coordinator_Defense,1877,Brian Flores,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,1,0.9958246346555324,0.9958246346555324
Defensive Coordinator_Defense,921,Teryl Austin,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,7,0.3903966597077244,0.975991649269311
Defensive Coordinator_Defense,2268,Denzel Martin,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,6,0.27622809182917796,0.6905702295729449
Offensive Coordinator_Offense,2269,Eddie Faulkner,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,7,0.9767958528758331,2.441989632189583
Offensive Coordinator_Offense,1259,Pat Meyer,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,4,0.8666995803505307,2.1667489508763267
Offensive Coordinator_Offense,2270,Isaac Williams,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,4,0.8666995803505307,2.1667489508763267
Offensive Coordinator_Offense,1057,Ike Hilliard,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.9461861268822513,1.419279190323377
Offensive Coordinator_Offense,981,Scottie Montgomery,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.8555912120464083,1.2833868180696124
Position Coach - Defense_Defense,2268,Denzel Martin,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,6,0.27622809182917796,0.6905702295729449
Position Coach - Defense_Defense,1954,Gerald Alexander,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,3,0.33028881757590717,0.6605776351518143
Position Coach - Defense_Defense,1763,Anthony Midget,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.33028881757590717,0.4954332263638608
Position Coach - Defense_Defense,113,Gregg Williams,Position Coach - Defense,Defense,Position Coach - Defense,Defense,2,0,0.9526042952357443,0.47630214761787215
Position Coach - Defense_Defense,1757,Bobby King,Position Coach - Defense,Defense,Position Coach - Defense,Defense,2,0,0.8847198222661071,0.44235991113305356
Position Coach - Offense_Offense,2270,Isaac Williams,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,4,0.8666995803505307,2.1667489508763267
Position Coach - Offense_Offense,1057,Ike Hilliard,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.9461861268822513,1.419279190323377
Position Coach - Offense_Offense,981,Scottie Montgomery,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.8555912120464083,1.2833868180696124
Position Coach - Offense_Offense,1846,Shaun Sarrett,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,9,0.5040730683781782,1.2601826709454456
