position_key,coach_id,candidate_name,current_role,current_side,target_position,target_side,degree,years_together,coach_value,connection_score
Defensive Coordinator_Defense,2004,Chris Shula,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,2,0.6325678496868476,0.9488517745302715
Defensive Coordinator_Defense,651,Chris Beake,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,1,0.8588002962231548,0.8588002962231548
Defensive Coordinator_Defense,1293,A.C. Carter,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,1,0.6551468773142434,0.6551468773142434
Defensive Coordinator_Defense,1106,Aden Durde,Defensive Coordinator,Defense,Defensive Coordinator,Defense,2,0,1,0.5
Defensive Coordinator_Defense,1484,Daronte Jones,Specialist Coordinator,Defense,Defensive Coordinator,Defense,2,0,1,0.5
Offensive Coordinator_Offense,1560,Aubrey Pleasant,Specialist Coordinator,Offense,Offensive Coordinator,Offense,1,2,0.7473903966597077,1.1210855949895615
Offensive Coordinator_Offense,1067,Dave Ragone,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,1,0.9412490743026414,0.9412490743026414
Offensive Coordinator_Offense,1890,Dan Shamash,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,1,0.7254998765736855,0.7254998765736855
Offensive Coordinator_Offense,1516,Ashton Grant,Position Coach - Offense,Offense,Offensive Coordinator,Offense,2,0,0.9876573685509751,0.49382868427548754
Offensive Coordinator_Offense,1320,Thomas Brown,Specialist Coordinator,Offense,Offensive Coordinator,Offense,2,0,0.9853862212943633,0.49269311064718163
Position Coach - Defense_Defense,1293,A.C. Carter,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.6551468773142434,0.6551468773142434
Position Coach - Defense_Defense,1335,Frank Okam,Position Coach - Defense,Defense,Position Coach - Defense,Defense,2,0,0.9854356948901506,0.4927178474450753
Position Coach - Defense_Defense,113,Gregg Williams,Position Coach - Defense,Defense,Position Coach - Defense,Defense,2,0,0.9526042952357443,0.47630214761787215
