position_key,coach_id,candidate_name,current_role,current_side,target_position,target_side,degree,years_together,coach_value,connection_score
Defensive Coordinator_Defense,1019,Mike Rutenberg,Specialist Coordinator,Defense,Defensive Coordinator,Defense,1,5,0.9832985386221295,2.4582463465553235
Defensive Coordinator_Defense,999,Jeff Ulbrich,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,4,0.8517745302713987,2.1294363256784967
Defensive Coordinator_Defense,1121,Marquand Manuel,Specialist Coordinator,Defense,Defensive Coordinator,Defense,1,5,0.8288100208768268,2.0720250521920667
Defensive Coordinator_Defense,1246,Aaron Whitecotton,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,8,0.5734386571216984,1.433596642804246
Defensive Coordinator_Defense,978,Jason Tarver,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,1,0.9242162429029869,0.9242162429029869
Offensive Coordinator_Offense,2010,Mike LaFleur,Offensive Coordinator,Offense,Offensive Coordinator,Offense,1,6,0.9290187891440501,2.3225469728601253
Offensive Coordinator_Offense,1034,Jon Embree,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,4,0.8173290545544311,2.0433226363860775
Offensive Coordinator_Offense,1714,Adam Stenavich,Offensive Coordinator,Offense,Offensive Coordinator,Offense,1,2,0.9269311064718163,1.3903966597077244
Offensive Coordinator_Offense,1551,Brian Fleury,Specialist Coordinator,Offense,Offensive Coordinator,Offense,1,3,0.6555323590814196,1.3110647181628392
Offensive Coordinator_Offense,803,Bobby Turner,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,4,0.4939521105899778,1.2348802764749445
Position Coach - Defense_Defense,1246,Aaron Whitecotton,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,8,0.5734386571216984,1.433596642804246
Position Coach - Defense_Defense,978,Jason Tarver,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.9242162429029869,0.9242162429029869
Position Coach - Defense_Defense,847,Kris Kocurek,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,3,0.44482843742285855,0.8896568748457171
Position Coach - Defense_Defense,2222,Shaq Wilson,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.47198222661071343,0.7079733399160701
Position Coach - Defense_Defense,2226,Greg Scruggs,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.44482843742285855,0.6672426561342878
Position Coach - Offense_Offense,803,Bobby Turner,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,4,0.4939521105899778,1.2348802764749445
Position Coach - Offense_Offense,848,Todd Downing,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.808936065169094,1.2134040977536409
Position Coach - Offense_Offense,1126,Keith Carter,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,3,0.5102443841026907,1.0204887682053814
Position Coach - Offense_Offense,1937,Taylor Embree,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,6,0.37200691187361146,0.9300172796840287
Position Coach - Offense_Offense,771,Chris Foerster,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,1,0.8886694643297951,0.8886694643297951
