position_key,coach_id,candidate_name,current_role,current_side,target_position,target_side,degree,years_together,coach_value,connection_score
Defensive Coordinator_Defense,1815,Brendan Daly,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,8,0.7598123920019748,1.8995309800049371
Defensive Coordinator_Defense,1917,Rod Wilson,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,4,0.7598123920019748,1.8995309800049371
Defensive Coordinator_Defense,1168,Donald D'Alesio,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,4,0.6840286349049617,1.7100715872624042
Defensive Coordinator_Defense,896,Dave Merritt,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,9,0.6716860034559368,1.6792150086398419
Defensive Coordinator_Defense,1921,Terry Bradden,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,5,0.49888916316958776,1.2472229079239694
Offensive Coordinator_Offense,1374,Eric Bieniemy,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,4,0.6894593927425328,1.723648481856332
Offensive Coordinator_Offense,1129,Corey Matthaei,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,7,0.5571463836089854,1.3928659590224635
Offensive Coordinator_Offense,1904,Andy Heck,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,7,0.5571463836089854,1.3928659590224635
Offensive Coordinator_Offense,1928,Deland McCullough,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.90594914835843,1.358923722537645
Offensive Coordinator_Offense,1913,Connor Embree,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,5,0.4213774376697112,1.053443594174278
Position Coach - Defense_Defense,1168,Donald D'Alesio,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,4,0.6840286349049617,1.7100715872624042
Position Coach - Defense_Defense,896,Dave Merritt,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,9,0.6716860034559368,1.6792150086398419
Position Coach - Defense_Defense,1921,Terry Bradden,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,5,0.49888916316958776,1.2472229079239694
Position Coach - Defense_Defense,1200,Joe Cullen,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,4,0.22142680819550728,0.5535670204887682
Position Coach - Defense_Defense,1911,Alex Whittingham,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,6,0.22142680819550728,0.5535670204887682
Position Coach - Offense_Offense,1904,Andy Heck,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,7,0.5571463836089854,1.3928659590224635
Position Coach - Offense_Offense,1928,Deland McCullough,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.90594914835843,1.358923722537645
Position Coach - Offense_Offense,1913,Connor Embree,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,5,0.4213774376697112,1.053443594174278
Position Coach - Offense_Offense,115,Aaron Kromer,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,1,0.5796099728462109,0.5796099728462109
