position_key,coach_id,candidate_name,current_role,current_side,target_position,target_side,degree,years_together,coach_value,connection_score
Defensive Coordinator_Defense,1088,Jon Hoke,Specialist Coordinator,Defense,Defensive Coordinator,Defense,1,3,0.9206680584551148,1.8413361169102296
Defensive Coordinator_Defense,1156,Mike Smith,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,2,0.5413478153542335,0.8120217230313502
Defensive Coordinator_Defense,1167,Dennis Johnson,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,2,0.5082695630708467,0.76240434460627
Defensive Coordinator_Defense,1181,Chris Hewitt,Specialist Coordinator,Defense,Defensive Coordinator,Defense,1,2,0.5052192066805845,0.7578288100208768
Defensive Coordinator_Defense,1721,Anthony Perkins,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,2,0.5038262157491977,0.7557393236237966
Offensive Coordinator_Offense,502,Ben Steele,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,3,0.8881757590718341,1.7763515181436682
Offensive Coordinator_Offense,1177,Travis Switzer,Specialist Coordinator,Offense,Offensive Coordinator,Offense,1,3,0.8496868475991649,1.6993736951983298
Offensive Coordinator_Offense,344,George Warhop,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,5,0.3986669958035053,0.9966674895087633
Offensive Coordinator_Offense,1034,Jon Embree,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,1,0.8173290545544311,0.8173290545544311
Offensive Coordinator_Offense,1188,Keith Williams,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,1,0.732164897556159,0.732164897556159
Position Coach - Defense_Defense,1167,Dennis Johnson,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.5082695630708467,0.76240434460627
Position Coach - Defense_Defense,1721,Anthony Perkins,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.5038262157491977,0.7557393236237966
Position Coach - Defense_Defense,1112,Doug Mallory,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.7415452974574179,0.7415452974574179
Position Coach - Defense_Defense,1168,Donald D'Alesio,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.6840286349049617,0.6840286349049617
Position Coach - Defense_Defense,891,Al Holcomb,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.6023204147124167,0.6023204147124167
Position Coach - Offense_Offense,344,George Warhop,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,5,0.3986669958035053,0.9966674895087633
Position Coach - Offense_Offense,1034,Jon Embree,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,1,0.8173290545544311,0.8173290545544311
Position Coach - Offense_Offense,1188,Keith Williams,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,1,0.732164897556159,0.732164897556159
Position Coach - Offense_Offense,2036,Butch Barry,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,3,0.3520118489261911,0.7040236978523822
Position Coach - Offense_Offense,1176,Travelle Wharton,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.3986669958035053,0.5980004937052579
Position Coach - Special Teams_Special Teams,1625,Zach Line,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0
Position Coach - Special Teams_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0
Specialist Coach_Defense,1,Alec Osborne,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,9,Dom Capers,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,130,Joe Vitt,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,290,Peter Giunta,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,475,Louie Cioffi,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Offense,330,Marc Trestman,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,503,Blaine Gautier,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,532,Mike Sullivan,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,715,Joe Philbin,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,760,Rob Grosso,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Specialist Coach,Special Teams,2,0,NA,0
Specialist Coordinator_Defense,1156,Mike Smith,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,2,0.5413478153542335,0.8120217230313502
Specialist Coordinator_Defense,1167,Dennis Johnson,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,2,0.5082695630708467,0.76240434460627
Specialist Coordinator_Defense,1181,Chris Hewitt,Specialist Coordinator,Defense,Specialist Coordinator,Defense,1,2,0.5052192066805845,0.7578288100208768
Specialist Coordinator_Defense,1721,Anthony Perkins,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,2,0.5038262157491977,0.7557393236237966
Specialist Coordinator_Defense,1112,Doug Mallory,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,1,0.7415452974574179,0.7415452974574179
Specialist Coordinator_Offense,1177,Travis Switzer,Specialist Coordinator,Offense,Specialist Coordinator,Offense,1,3,0.8496868475991649,1.6993736951983298
Specialist Coordinator_Offense,344,George Warhop,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,5,0.3986669958035053,0.9966674895087633
Specialist Coordinator_Offense,1034,Jon Embree,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,1,0.8173290545544311,0.8173290545544311
Specialist Coordinator_Offense,1188,Keith Williams,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,1,0.732164897556159,0.732164897556159
Specialist Coordinator_Offense,2036,Butch Barry,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,3,0.3520118489261911,0.7040236978523822
Specialist Coordinator_Special Teams,507,Jeff Rodgers,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
Specialist Coordinator_Special Teams,670,Darrin Simmons,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
Specialist Coordinator_Special Teams,675,Danny Crossman,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
Specialist Coordinator_Special Teams,1030,Marquice Williams,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
Specialist Coordinator_Special Teams,1118,Ben Kotwica,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
