from_coach_id,coach,community,team,year,avg_max_future_value,avg_oe_future_value,median_oe_future_value,total_oe_future_value,num_reports
8,Jim Mora,3,New Orleans Saints,1986,0.75,0.25,0.2,2,8
8,Jim Mora,3,New Orleans Saints,1987,0.75,0.25,0.2,2,8
8,Jim Mora,3,New Orleans Saints,1988,0.75,0.25,0.2,2,8
8,Jim Mora,3,New Orleans Saints,1989,0.75,0.25,0.2,2,8
8,Jim Mora,3,New Orleans Saints,1990,0.75,0.25,0.2,2,8
8,Jim Mora,3,New Orleans Saints,1991,0.75,0.25,0.2,2,8
8,Jim Mora,3,Seattle Seahawks,2009,0.5571428571428572,0.12857142857142856,0,1.8,14
9,Dom Capers,6,Carolina Panthers,1995,0.6307692307692307,0.2,0,2.6,13
9,Dom Capers,6,Carolina Panthers,1996,0.6307692307692307,0.2,0,2.6,13
9,Dom Capers,6,Carolina Panthers,1997,0.6307692307692307,0.18461538461538463,0,2.4000000000000004,13
9,Dom Capers,6,Carolina Panthers,1998,0.6142857142857143,0.2,0.19999999999999998,2.8000000000000003,14
9,Dom Capers,6,Houston Texans,2002,0.65,0.2,0.09999999999999998,2.4000000000000004,12
9,Dom Capers,6,Houston Texans,2003,0.65,0.2,0.09999999999999998,2.4000000000000004,12
9,Dom Capers,6,Houston Texans,2004,0.6833333333333333,0.21666666666666667,0.3,2.6,12
9,Dom Capers,6,Houston Texans,2005,0.676923076923077,0.2,0,2.6,13
11,Jack Del Rio,4,Jacksonville Jaguars,2003,0.5076923076923077,0.07692307692307693,0,1,13
11,Jack Del Rio,4,Jacksonville Jaguars,2004,0.48333333333333334,0.049999999999999996,0,0.6,12
11,Jack Del Rio,4,Jacksonville Jaguars,2005,0.5142857142857143,0.04285714285714286,0,0.6,14
11,Jack Del Rio,4,Jacksonville Jaguars,2006,0.5230769230769231,0.06153846153846154,0,0.8,13
11,Jack Del Rio,4,Jacksonville Jaguars,2007,0.6461538461538462,0.2,0.19999999999999996,2.6,13
11,Jack Del Rio,4,Jacksonville Jaguars,2009,0.6461538461538462,0.2,0.19999999999999996,2.6,13
11,Jack Del Rio,4,Jacksonville Jaguars,2010,0.5647058823529412,0.1411764705882353,0,2.4,17
11,Jack Del Rio,4,Jacksonville Jaguars,2011,0.5058823529411764,0.08235294117647059,0,1.4,17
11,Jack Del Rio,4,Las Vegas Raiders,2015,0.5333333333333333,0.12222222222222223,0,2.2,18
11,Jack Del Rio,4,Las Vegas Raiders,2016,0.5333333333333333,0.12222222222222223,0,2.2,18
11,Jack Del Rio,4,Las Vegas Raiders,2017,0.5058823529411764,0.07058823529411765,0,1.2000000000000002,17
22,Vic Fangio,9,Denver Broncos,2019,0.5800000000000001,0.1,0,1,10
22,Vic Fangio,9,Denver Broncos,2020,0.5800000000000001,0.1,0,1,10
22,Vic Fangio,9,Denver Broncos,2021,0.5230769230769231,0.1076923076923077,0,1.4000000000000001,13
23,Bum Phillips,7,New Orleans Saints,1981,0.5750000000000001,0.075,0,0.6,8
23,Bum Phillips,7,New Orleans Saints,1982,0.5555555555555556,0.06666666666666667,0,0.6,9
23,Bum Phillips,7,New Orleans Saints,1983,0.5333333333333333,0.06666666666666667,0,0.6,9
23,Bum Phillips,7,New Orleans Saints,1984,0.5333333333333333,0.06666666666666667,0,0.6,9
23,Bum Phillips,7,New Orleans Saints,1985,0.5333333333333333,0.06666666666666667,0,0.6,9
23,Bum Phillips,7,Tennessee Titans,1980,0.7714285714285715,0.3142857142857143,0.4,2.2,7
37,Mike McCarthy,6,Dallas Cowboys,2020,0.5052631578947369,0.11578947368421053,0,2.2,19
37,Mike McCarthy,6,Dallas Cowboys,2021,0.56,0.15,0.19999999999999996,3,20
37,Mike McCarthy,6,Dallas Cowboys,2022,0.5700000000000001,0.16,0.19999999999999996,3.2,20
37,Mike McCarthy,6,Dallas Cowboys,2023,0.5,0.10833333333333334,0,2.6,24
37,Mike McCarthy,6,Dallas Cowboys,2024,0.5,0.07272727272727272,0,1.6,22
37,Mike McCarthy,6,Green Bay Packers,2006,0.6,0.1625,0,2.6,16
37,Mike McCarthy,6,Green Bay Packers,2008,0.6125,0.175,0,2.8,16
37,Mike McCarthy,6,Green Bay Packers,2009,0.6,0.1625,0,2.6,16
37,Mike McCarthy,6,Green Bay Packers,2010,0.5866666666666667,0.14666666666666667,0,2.2,15
37,Mike McCarthy,6,Green Bay Packers,2011,0.55,0.049999999999999996,0,0.39999999999999997,8
37,Mike McCarthy,6,Green Bay Packers,2012,0.5555555555555556,0.06666666666666667,0,0.6000000000000001,9
37,Mike McCarthy,6,Green Bay Packers,2013,0.5555555555555556,0.06666666666666667,0,0.6000000000000001,9
37,Mike McCarthy,6,Green Bay Packers,2014,0.5333333333333333,0.044444444444444446,0,0.4,9
37,Mike McCarthy,6,Green Bay Packers,2015,0.56,0.08,0,0.8,10
37,Mike McCarthy,6,Green Bay Packers,2016,0.62,0.14,0,1.4000000000000001,10
37,Mike McCarthy,6,Green Bay Packers,2017,0.6,0.15000000000000002,0,2.4000000000000004,16
37,Mike McCarthy,6,Green Bay Packers,2018,0.6533333333333333,0.13333333333333333,0,2,15
38,Jim Haslett,7,New Orleans Saints,2000,0.5384615384615384,0.1076923076923077,0,1.4,13
38,Jim Haslett,7,New Orleans Saints,2001,0.5666666666666667,0.13333333333333333,0,1.6,12
38,Jim Haslett,7,New Orleans Saints,2002,0.5571428571428572,0.1285714285714286,0,1.8,14
38,Jim Haslett,7,New Orleans Saints,2003,0.48000000000000004,0.06666666666666667,0,1,15
38,Jim Haslett,7,New Orleans Saints,2004,0.48750000000000004,0.0625,0,1,16
38,Jim Haslett,7,New Orleans Saints,2005,0.4625,0.037500000000000006,0,0.6000000000000001,16
39,Mike Ditka,7,Chicago Bears,1983,0.9,0.09999999999999998,0.09999999999999998,0.19999999999999996,2
39,Mike Ditka,7,Chicago Bears,1984,0.5428571428571429,0.05714285714285714,0,0.39999999999999997,7
39,Mike Ditka,7,Chicago Bears,1985,0.5428571428571429,0.05714285714285714,0,0.39999999999999997,7
39,Mike Ditka,7,Chicago Bears,1986,0.9,0.3,0.3,1.2,4
39,Mike Ditka,7,Chicago Bears,1989,0.5555555555555556,0.08888888888888888,0,0.7999999999999999,9
39,Mike Ditka,7,Chicago Bears,1990,0.6444444444444445,0.13333333333333333,0,1.2,9
39,Mike Ditka,7,Chicago Bears,1991,0.6,0.12,0,1.2,10
39,Mike Ditka,7,Chicago Bears,1992,0.6222222222222222,0.13333333333333333,0,1.2,9
39,Mike Ditka,7,New Orleans Saints,1997,0.6333333333333334,0.2,0.1,2.4000000000000004,12
39,Mike Ditka,7,New Orleans Saints,1998,0.5666666666666667,0.13333333333333333,0,1.6,12
39,Mike Ditka,7,New Orleans Saints,1999,0.4714285714285715,0.07142857142857144,0,1,14
41,Jim L. Mora,9,Atlanta Falcons,2004,0.6,0.17333333333333334,0,2.6,15
41,Jim L. Mora,9,Atlanta Falcons,2005,0.6142857142857143,0.18571428571428572,0,2.6,14
41,Jim L. Mora,9,Indianapolis Colts,1998,0.6363636363636364,0.18181818181818182,0,2,11
41,Jim L. Mora,9,Indianapolis Colts,1999,0.6545454545454545,0.2,0,2.2,11
41,Jim L. Mora,9,Indianapolis Colts,2000,0.6545454545454545,0.2,0,2.2,11
41,Jim L. Mora,9,Indianapolis Colts,2001,0.6363636363636364,0.18181818181818182,0,2,11
41,Jim L. Mora,9,New Orleans Saints,1992,0.7142857142857143,0.2,0,1.4,7
41,Jim L. Mora,9,New Orleans Saints,1993,0.7142857142857143,0.2,0,1.4,7
41,Jim L. Mora,9,New Orleans Saints,1994,0.7250000000000001,0.25,0.30000000000000004,2,8
41,Jim L. Mora,9,New Orleans Saints,1995,0.6666666666666667,0.2,0,1.8,9
41,Jim L. Mora,9,New Orleans Saints,1996,0.72,0.28,0.3,2.8000000000000003,10
47,Dick Nolan,7,New Orleans Saints,1980,0.6000000000000001,0.06666666666666667,0,0.4,7
51,Wade Phillips,7,Atlanta Falcons,2003,0.55,0.15000000000000002,0,1.2000000000000002,8
51,Wade Phillips,7,Buffalo Bills,1998,0.49090909090909096,0.03636363636363637,0,0.4,11
51,Wade Phillips,7,Buffalo Bills,1999,0.49090909090909096,0.03636363636363637,0,0.4,11
51,Wade Phillips,7,Buffalo Bills,2000,0.49090909090909096,0.03636363636363637,0,0.4,11
51,Wade Phillips,7,Dallas Cowboys,2010,0.5692307692307692,0.15384615384615385,0,2,13
51,Wade Phillips,7,Denver Broncos,1993,0.5090909090909091,0.07272727272727272,0,0.8,11
51,Wade Phillips,7,Denver Broncos,1994,0.5,0.06666666666666667,0,0.8,12
72,Rod Rust,7,New England Patriots,1990,0.5555555555555556,0.08888888888888889,0,0.8,9
88,Romeo Crennel,10,Cleveland Browns,2005,0.5466666666666667,0.12000000000000001,0,1.8000000000000003,15
88,Romeo Crennel,10,Cleveland Browns,2006,0.5285714285714286,0.1,0,1.4000000000000001,14
88,Romeo Crennel,10,Cleveland Browns,2007,0.5,0.1,0,1.6,16
88,Romeo Crennel,10,Cleveland Browns,2008,0.5125000000000001,0.1,0,1.6,16
88,Romeo Crennel,10,Kansas City Chiefs,2011,0.5142857142857143,0.1142857142857143,0,0.8,7
88,Romeo Crennel,10,Kansas City Chiefs,2012,0.5384615384615384,0.19230769230769232,0,2.5,13
89,Al Groh,10,New York Jets,2000,0.7090909090909091,0.2545454545454545,0.19999999999999996,2.8,11
93,Chris Palmer,2,Cleveland Browns,1999,0.5692307692307692,0.2076923076923077,0,2.7,13
93,Chris Palmer,2,Cleveland Browns,2000,0.5833333333333334,0.18333333333333335,0,2.2,12
95,Ray Perkins,10,New York Giants,1980,0.4285714285714286,0,0,0,7
95,Ray Perkins,10,New York Giants,1981,0.525,0.09999999999999999,0,0.7999999999999999,8
95,Ray Perkins,10,New York Giants,1982,0.6,0.09999999999999999,0,0.7999999999999999,8
95,Ray Perkins,10,Tampa Bay Buccaneers,1987,0.6363636363636364,0.21818181818181817,0,2.4,11
95,Ray Perkins,10,Tampa Bay Buccaneers,1988,0.66,0.24000000000000002,0.2,2.4000000000000004,10
96,Bill Parcells,10,Dallas Cowboys,2005,0.8363636363636364,0.32727272727272727,0.4,3.5999999999999996,11
96,Bill Parcells,10,Dallas Cowboys,2006,0.8,0.31666666666666665,0.30000000000000004,3.8,12
96,Bill Parcells,10,New England Patriots,1993,0.775,0.275,0.3,2.2,8
96,Bill Parcells,10,New England Patriots,1994,0.7333333333333334,0.26666666666666666,0.19999999999999996,2.4,9
96,Bill Parcells,10,New England Patriots,1995,0.7000000000000001,0.26,0.19999999999999998,2.6,10
96,Bill Parcells,10,New England Patriots,1996,0.76,0.3,0.30000000000000004,3,10
96,Bill Parcells,10,New York Giants,1983,0.6,0.14285714285714285,0,1,7
96,Bill Parcells,10,New York Giants,1984,0.6,0.14285714285714285,0,1,7
96,Bill Parcells,10,New York Giants,1985,0.5777777777777778,0.1111111111111111,0,1,9
96,Bill Parcells,10,New York Giants,1986,0.5777777777777778,0.1111111111111111,0,1,9
96,Bill Parcells,10,New York Giants,1987,0.5777777777777778,0.1111111111111111,0,1,9
96,Bill Parcells,10,New York Giants,1988,0.6444444444444445,0.17777777777777776,0,1.5999999999999999,9
96,Bill Parcells,10,New York Giants,1990,0.7777777777777778,0.26666666666666666,0.19999999999999996,2.4,9
103,Raymond Berry,7,New England Patriots,1984,0.625,0.125,0,1,8
103,Raymond Berry,7,New England Patriots,1985,0.56,0.14,0,1.4,10
103,Raymond Berry,7,New England Patriots,1986,0.56,0.06,0,0.6,10
103,Raymond Berry,7,New England Patriots,1987,0.56,0.019999999999999997,0,0.19999999999999996,10
103,Raymond Berry,7,New England Patriots,1988,0.5272727272727273,0.05454545454545456,0,0.6000000000000001,11
103,Raymond Berry,7,New England Patriots,1989,0.42000000000000004,0.04,0,0.4,10
105,Bruce Arians,9,Arizona Cardinals,2013,0.5800000000000001,0.12,0,1.2,10
105,Bruce Arians,9,Arizona Cardinals,2014,0.5800000000000001,0.12,0,1.2,10
105,Bruce Arians,9,Arizona Cardinals,2015,0.5333333333333333,0.044444444444444446,0,0.4,9
105,Bruce Arians,9,Arizona Cardinals,2016,0.5,0.04,0,0.4,10
105,Bruce Arians,9,Arizona Cardinals,2017,0.525,0.1,0,1.6,16
105,Bruce Arians,9,Tampa Bay Buccaneers,2019,0.52,0.1,0,2,20
105,Bruce Arians,9,Tampa Bay Buccaneers,2020,0.52,0.1,0,2,20
105,Bruce Arians,9,Tampa Bay Buccaneers,2021,0.51,0.09,0,1.8,20
106,Les Steckel,7,Minnesota Vikings,1984,0.6,0.125,0,1,8
110,Dennis Allen,14,Las Vegas Raiders,2012,0.55,0.15000000000000002,0,2.4000000000000004,16
110,Dennis Allen,14,Las Vegas Raiders,2013,0.525,0.125,0,2,16
110,Dennis Allen,14,Las Vegas Raiders,2014,0.55,0.15000000000000002,0,2.4000000000000004,16
110,Dennis Allen,14,New Orleans Saints,2022,0.5714285714285715,0.07142857142857144,0,1,14
110,Dennis Allen,14,New Orleans Saints,2023,0.5230769230769231,0.07692307692307693,0,1,13
110,Dennis Allen,14,New Orleans Saints,2024,0.4444444444444445,0.05555555555555556,0,1,18
113,Gregg Williams,14,Buffalo Bills,2001,0.49230769230769234,0.07692307692307693,0,1,13
113,Gregg Williams,14,Buffalo Bills,2002,0.49333333333333335,0.05333333333333334,0,0.8,15
121,Dan Reeves,7,Atlanta Falcons,1997,0.5333333333333333,0.11666666666666668,0,1.4000000000000001,12
121,Dan Reeves,7,Atlanta Falcons,1998,0.48333333333333334,0.06666666666666667,0,0.8,12
121,Dan Reeves,7,Atlanta Falcons,1999,0.47692307692307695,0.07692307692307693,0,1,13
121,Dan Reeves,7,Atlanta Falcons,2000,0.46153846153846156,0.046153846153846156,0,0.6000000000000001,13
121,Dan Reeves,7,Atlanta Falcons,2001,0.49230769230769234,0.07692307692307693,0,1,13
121,Dan Reeves,7,Atlanta Falcons,2002,0.5538461538461539,0.16923076923076924,0,2.2,13
121,Dan Reeves,7,Atlanta Falcons,2003,0.6153846153846154,0.2,0,2.6,13
121,Dan Reeves,7,Denver Broncos,1981,0.5750000000000001,0.125,0,1,8
121,Dan Reeves,7,Denver Broncos,1982,0.6333333333333333,0.16666666666666666,0.09999999999999998,1,6
121,Dan Reeves,7,Denver Broncos,1983,0.6000000000000001,0.2,0.2,1.2000000000000002,6
121,Dan Reeves,7,Denver Broncos,1984,0.6333333333333333,0.23333333333333334,0.2,1.4,6
121,Dan Reeves,7,Denver Broncos,1985,0.65,0.225,0.09999999999999998,1.8,8
121,Dan Reeves,7,Denver Broncos,1986,0.6,0.14285714285714285,0,1,7
121,Dan Reeves,7,Denver Broncos,1987,0.65,0.2,0.09999999999999998,1.6,8
121,Dan Reeves,7,Denver Broncos,1988,0.6444444444444445,0.24444444444444446,0.4,2.2,9
121,Dan Reeves,7,Denver Broncos,1989,0.78,0.32,0.4,3.1999999999999997,10
121,Dan Reeves,7,Denver Broncos,1990,0.76,0.3,0.30000000000000004,3,10
121,Dan Reeves,7,Denver Broncos,1991,0.72,0.27999999999999997,0.3,2.8,10
121,Dan Reeves,7,Denver Broncos,1992,0.66,0.22,0.19999999999999998,2.2,10
121,Dan Reeves,7,New York Giants,1993,0.64,0.18,0.09999999999999998,1.8,10
121,Dan Reeves,7,New York Giants,1994,0.6888888888888889,0.2,0.19999999999999996,1.8,9
121,Dan Reeves,7,New York Giants,1995,0.66,0.18,0.09999999999999998,1.8,10
121,Dan Reeves,7,New York Giants,1996,0.66,0.18,0.09999999999999998,1.8,10
123,Mike Nolan,14,San Francisco 49ers,2005,0.6666666666666667,0.24000000000000002,0,3.6,15
123,Mike Nolan,14,San Francisco 49ers,2006,0.6533333333333333,0.22666666666666668,0,3.4000000000000004,15
123,Mike Nolan,14,San Francisco 49ers,2007,0.6352941176470589,0.23529411764705885,0,4,17
123,Mike Nolan,14,San Francisco 49ers,2008,0.7142857142857143,0.30000000000000004,0.2,4.2,14
131,Sean Payton,14,Denver Broncos,2023,0.49230769230769234,0.06153846153846154,0,0.8,13
131,Sean Payton,14,Denver Broncos,2024,0.47692307692307695,0.015384615384615385,0,0.2,13
131,Sean Payton,14,Denver Broncos,2025,0.4217391304347826,0,0,0,23
131,Sean Payton,14,New Orleans Saints,2006,0.6,0.2,0,2.8000000000000003,14
131,Sean Payton,14,New Orleans Saints,2007,0.6,0.2,0,2.8000000000000003,14
131,Sean Payton,14,New Orleans Saints,2008,0.6285714285714286,0.2,0,2.8000000000000003,14
131,Sean Payton,14,New Orleans Saints,2009,0.6133333333333334,0.17333333333333334,0,2.6,15
131,Sean Payton,14,New Orleans Saints,2010,0.6,0.16,0,2.4000000000000004,15
131,Sean Payton,14,New Orleans Saints,2011,0.5777777777777778,0.08888888888888889,0,0.8,9
131,Sean Payton,14,New Orleans Saints,2012,0.5857142857142857,0.14285714285714288,0,2,14
131,Sean Payton,14,New Orleans Saints,2013,0.5333333333333333,0.06666666666666667,0,0.6000000000000001,9
131,Sean Payton,14,New Orleans Saints,2014,0.5333333333333333,0.044444444444444446,0,0.4,9
131,Sean Payton,14,New Orleans Saints,2015,0.525,0.024999999999999994,0,0.19999999999999996,8
131,Sean Payton,14,New Orleans Saints,2016,0.52,0.09999999999999999,0,1,10
131,Sean Payton,14,New Orleans Saints,2017,0.6,0.2,0.2,2.2,11
131,Sean Payton,14,New Orleans Saints,2018,0.5666666666666667,0.18333333333333335,0.19999999999999998,2.2,12
131,Sean Payton,14,New Orleans Saints,2019,0.6666666666666667,0.2222222222222222,0.2,2,9
131,Sean Payton,14,New Orleans Saints,2020,0.5800000000000001,0.16,0.09999999999999998,1.6,10
131,Sean Payton,14,New Orleans Saints,2021,0.5529411764705883,0.12941176470588237,0,2.2,17
136,Bill Belichick,10,Cleveland Browns,1991,0.5800000000000001,0.18,0.09999999999999998,1.8,10
136,Bill Belichick,10,Cleveland Browns,1992,0.5538461538461539,0.18461538461538463,0,2.4,13
136,Bill Belichick,10,Cleveland Browns,1993,0.5076923076923077,0.13846153846153847,0,1.8,13
136,Bill Belichick,10,Cleveland Browns,1994,0.5846153846153846,0.18461538461538463,0,2.4,13
136,Bill Belichick,10,Cleveland Browns,1995,0.5833333333333334,0.18333333333333335,0,2.2,12
136,Bill Belichick,10,New England Patriots,2000,0.5454545454545455,0.14545454545454545,0,1.6,11
136,Bill Belichick,10,New England Patriots,2001,0.6727272727272727,0.21818181818181817,0,2.4,11
136,Bill Belichick,10,New England Patriots,2002,0.7000000000000001,0.24,0.19999999999999998,2.4,10
136,Bill Belichick,10,New England Patriots,2003,0.6909090909090909,0.23636363636363636,0.19999999999999996,2.6,11
