coach,node_id,degree_in,degree_out,degree_total,degree_in_norm,degree_out_norm,betweenness_norm,closeness_in_norm,closeness_out_norm,eigenvector_norm,pagerank_norm
Dom Capers,9,81,189,270,0.627906976744186,0.4055793991416309,1,2.1290185224611454e-4,1.4803849000740192e-4,0.6236807020623175,0.6159554503349629
John Fox,170,33,239,272,0.2558139534883721,0.5128755364806867,0.6963377734077785,1.9033117624666921e-4,1.525320317266626e-4,0.1018889429944603,0.34232679753295414
Dennis Allen,110,46,174,220,0.35658914728682173,0.37339055793991416,0.5890619004377285,2.0383204239706482e-4,1.4841199168892847e-4,0.44239964739119475,0.2502208854503346
Ray Rhodes,371,69,106,175,0.5348837209302325,0.22746781115879827,0.5757862885151649,1.9256691700365877e-4,1.5048908954100828e-4,0.25975360748213816,0.27952980691656143
John Pagano,66,92,35,127,0.7131782945736435,0.07510729613733906,0.4441268642452848,2.006823198876179e-4,1.2810658467845247e-4,0.5420127115513894,0.6202431496613244
Jimmy Raye,80,65,60,125,0.5038759689922481,0.12875536480686695,0.43835757910684237,2.0903010033444816e-4,1.3964530093562352e-4,0.28581729879828205,0.3253365347507614
Sean McVay,1033,32,266,298,0.24806201550387597,0.5708154506437768,0.4355590368442585,1.9256691700365877e-4,1.4885382554331647e-4,0.2741722771458046,0.20826663471702467
Ben McAdoo,724,46,61,107,0.35658914728682173,0.13090128755364808,0.4308824529401428,2.1772262138036142e-4,1.2661433274246644e-4,0.3940807751092423,0.735515137071618
Gregg Williams,113,64,138,202,0.49612403100775193,0.296137339055794,0.42544067887254056,2.041649652919559e-4,1.3908205841446454e-4,0.3818086548419242,0.25644085214259066
Al Saunders,247,82,72,154,0.6356589147286822,0.15450643776824036,0.411926973074358,2.074688796680498e-4,1.3528138528138528e-4,0.4110101697723893,0.2836243887151974
Mike Nolan,123,35,152,187,0.2713178294573643,0.3261802575107296,0.40238737597206226,1.942124684404739e-4,1.524390243902439e-4,0.17440937306761944,0.09537759486960003
Chris Palmer,93,39,74,113,0.3023255813953488,0.15879828326180256,0.38327580619440393,1.9425019425019425e-4,1.4146272457207527e-4,0.2609387240442604,0.1521165899333356
Mike McCoy,682,54,137,191,0.4186046511627907,0.2939914163090129,0.3769950557928601,2.007226013649137e-4,1.5060240963855423e-4,0.420791070063402,0.2192165511867803
Mike McCarthy,37,36,397,433,0.27906976744186046,0.851931330472103,0.37204193670887953,1.9062142584826535e-4,1.5304560759106213e-4,0.2084642724483888,0.12199019498676006
Ben Johnson,1372,39,62,101,0.3023255813953488,0.13304721030042918,0.35927561039225947,2.054653790836244e-4,1.2729124236252545e-4,0.3429757328667087,0.41327008432839596
Jim Schwartz,870,55,173,228,0.4263565891472868,0.37124463519313305,0.3534564892939613,1.926040061633282e-4,1.3199577613516366e-4,0.2652503228591325,0.4708284101302497
Jim Hostler,63,86,37,123,0.6666666666666666,0.07939914163090128,0.3461720443067761,2.209456473707468e-4,1.2143290831815422e-4,0.5045373769159011,0.6607553536416179
Marc Trestman,330,42,86,128,0.32558139534883723,0.18454935622317598,0.3453040031342476,2.0100502512562814e-4,1.3952839402818474e-4,0.30975185040625464,0.21123223620390272
Robert Saleh,1892,61,134,195,0.4728682170542636,0.2875536480686695,0.33498069587812473,2.0092425155716296e-4,1.3607293509320997e-4,0.5353573264231539,0.42177799015249934
Tom Moore,60,70,80,150,0.5426356589147286,0.17167381974248927,0.3343586124619567,1.928268414963363e-4,1.2836970474967908e-4,0.4191107923989294,0.9661725025513103
Kevin Gilbride,246,33,116,149,0.2558139534883721,0.24892703862660945,0.33175709029261313,1.9094901661256445e-4,1.413427561837456e-4,0.15296426361135187,0.13373640920113317
Chuck Pagano,583,26,122,148,0.20155038759689922,0.26180257510729615,0.3308004815839137,1.8011527377521613e-4,1.4035087719298245e-4,0.056089661921920615,0.3175642490341913
Dan Shamash,1890,75,22,97,0.5813953488372093,0.04721030042918455,0.31747191683182374,2.1963540522732265e-4,1.2823800974608873e-4,0.7140724697211105,0.5271393652705364
Ray Perkins,95,8,70,78,0.06201550387596899,0.15021459227467812,0.3111349869654615,1.6286644951140066e-4,1.414827391058291e-4,0.03790114098599042,0.06700247607758575
Mike Pettine,1279,30,85,115,0.23255813953488372,0.18240343347639484,0.30498023562143334,1.9577133907595928e-4,1.3575889220743959e-4,0.14245509805047737,0.1967937284143321
Shane Steichen,1561,49,113,162,0.3798449612403101,0.24248927038626608,0.30406795463534037,2.0445716622367614e-4,1.3439053890606102e-4,0.48318931232120066,0.4045680889483771
Monte Kiffin,57,45,71,116,0.3488372093023256,0.15236051502145923,0.3028257307799517,1.850481125092524e-4,1.4275517487508923e-4,0.10165948071766007,0.18731972891189574
Adam Gase,1435,27,106,133,0.20930232558139536,0.22746781115879827,0.278608158859139,1.9972039145196724e-4,1.378929950358522e-4,0.23736782493751607,0.770801015727718
Matt Patricia,1685,34,94,128,0.26356589147286824,0.2017167381974249,0.2778005747132843,1.88040616773223e-4,1.2721027859051011e-4,0.13619585335216372,0.512235389333788
Pete Carmichael,571,41,70,111,0.3178294573643411,0.15021459227467812,0.2718167019512377,1.9256691700365877e-4,1.3220518244315177e-4,0.2756226964898124,0.35796923779307943
Nick Sirianni,1810,39,130,169,0.3023255813953488,0.27896995708154504,0.2674354495285164,1.9175455417066154e-4,1.3361838588989844e-4,0.2797959976205219,0.3884194559743822
Marty Mornhinweg,420,40,136,176,0.31007751937984496,0.2918454935622318,0.2673265290820678,1.8040772145047808e-4,1.4283673760891302e-4,0.15619868391971922,0.22410628703415622
Mike Sullivan,532,86,56,142,0.6666666666666666,0.12017167381974249,0.2650293899383347,2.11954217888936e-4,1.2836970474967908e-4,0.4414139131954444,0.35650694284325773
Sherman Lewis,377,31,69,100,0.24031007751937986,0.148068669527897,0.2648936033717902,1.737921445950643e-4,1.443001443001443e-4,0.03878163494207888,0.11384428165559454
Bill Musgrave,1500,48,81,129,0.37209302325581395,0.17381974248927037,0.2635094439478304,2.055076037813399e-4,1.3991884706870015e-4,0.30286499673733036,0.20901402916732148
Dan Quinn,931,34,221,255,0.26356589147286824,0.4742489270386266,0.26140939290932114,1.8832391713747646e-4,1.4710208884966165e-4,0.20014986776510657,0.10448386981602764
Bob Sutton,457,52,61,113,0.40310077519379844,0.13090128755364808,0.2600470168151165,1.8768768768768769e-4,1.2542330364981815e-4,0.18558978025196823,0.3352434877134711
Joe Philbin,715,35,117,152,0.2713178294573643,0.2510729613733906,0.2577757302968874,1.952362358453729e-4,1.3271400132714e-4,0.2186129416663776,0.19052886227381846
