coach,coach_id,community
Alec Osborne,1,1
John Pease,2,2
Steve Sidwell,3,3
Paul Boudreau,4,2
Steve Walters,5,2
Jim Skipper,6,4
Carl Smith,7,5
Jim Mora,8,3
Dom Capers,9,6
Ned James,10,3
Jack Del Rio,11,4
Walt Corey,12,7
Zaven Yaralian,13,7
Judd Garrett,14,8
Dick Stanfel,15,7
Dan Neal,16,7
Harold Jackson,17,7
Lary Kuharich,18,7
Tom Clements,19,6
Danny Abramowicz,20,7
Rick Venturi,21,7
Vic Fangio,22,9
Bum Phillips,23,7
Jack Henry,24,7
Al Everest,25,7
Joe Alley,26,7
Ty Knott,27,7
Greg Brown,28,7
Joe Baker,29,6
Winston Moss,30,6
Chip Beake,31,7
Bob Palcic,32,7
Danny Langsdorf,33,7
Jimmy Robinson,34,6
Dave Atkins,35,7
Mike Sheppard,36,7
Mike McCarthy,37,6
Jim Haslett,38,7
Mike Ditka,39,7
Nick Nicolau,40,7
Jim L. Mora,41,9
Fred Glick,42,10
Tom Pratt,43,9
Ed Beard,44,7
Lamar McHan,45,7
Ed Hughes,46,7
Dick Nolan,47,7
Lance Van Zandt,48,7
John Paul Young,49,7
Willie Zapalac,50,7
Wade Phillips,51,7
Joe Spencer,52,7
John Levra,53,7
Larry Kennan,54,7
Frank Warren,55,4
Wayne Nunnely,56,7
Monte Kiffin,57,11
John Matsko,58,4
Mike Woodford,59,7
Tom Moore,60,9
Sam Clancy,61,7
Ron Zook,62,6
Jim Hostler,63,12
Hubbard Alexander,64,7
Frank Cignetti Jr.,65,2
John Pagano,66,9
Willie Shaw,67,7
Everett Withers,68,2
Chip Myers,69,3
John Misciagna,70,7
King Hill,71,7
Rod Rust,72,7
Steve Nelson,73,7
Don Blackmon,74,7
Dale Lindsey,75,7
Charlie Sumner,76,7
Rod Humenuik,77,7
Richard Wood,78,7
Bobby Grier,79,7
Jimmy Raye,80,7
John Polonchek,81,7
Jim Erkenbeck,82,7
Mark Hatley,83,7
Carl Mauck,84,7
Harold Richardson,85,7
Bob Trott,86,10
Dante Scarnecchia,87,10
Romeo Crennel,88,10
Al Groh,89,10
Maurice Carthon,90,10
Fred Hoaglin,91,2
Mike Pope,92,2
Chris Palmer,93,2
Charlie Weis,94,10
Ray Perkins,95,10
Bill Parcells,96,10
Jim Carr,97,7
Don Shinnick,98,7
Ray Hamilton,99,13
Eddie Khayat,100,7
Guy Morriss,101,7
Jimmy Carr,102,7
Raymond Berry,103,7
Jeff Davidson,104,10
Bruce Arians,105,9
Les Steckel,106,7
Marcus Ungaro,107,14
Greg McMahon,108,14
Tony Oden,109,15
Dennis Allen,110,14
Travis Jones,111,5
Bill Johnson,112,14
Gregg Williams,113,14
Frank Smith,114,14
Aaron Kromer,115,11
Terry Malone,116,14
Curtis Johnson,117,14
Bret Ingalls,118,14
Joe Lombardi,119,14
"Pete Carmichael, Jr.",120,14
Dan Reeves,121,7
Earl Leggett,122,7
Mike Nolan,123,14
Pete Mangurian,124,7
James Daniel,125,13
Dick Rehbein,126,7
George Sefcik,127,7
Steve DeBerg,128,7
George Henshaw,129,7
Joe Vitt,130,14
Sean Payton,131,14
Ray Handley,132,10
Mike Sweatman,133,10
Len Fontes,134,10
Lamar Leachman,135,10
Bill Belichick,136,10
Pat Hodgson,137,10
Ron Erhardt,138,10
Tom Bresnahan,139,7
Bob Ledbetter,140,10
Bob Lord,141,10
Bill Austin,142,10
Ernie Adams,143,13
Kerry Goode,144,7
Joe Walton,145,7
Ray Callahan,146,7
Mike Faulkiner,147,7
Jim Vechiarella,148,7
Bud Carson,149,7
Dan Radakovich,150,7
Bobby Hammond,151,7
Zeke Bratkowski,152,7
Bruce Coslet,153,16
Walt Harris,154,15
Rod Dowhower,155,17
Jim Fassel,156,7
Al Roberts,157,3
Ed Donatell,158,15
Foge Fazio,159,3
Greg Robinson,160,15
Pete Carroll,161,5
Paul Alexander,162,16
Larry Beightol,163,5
Johnny Roland,164,7
Rich Kotite,165,7
Dave Brazil,166,7
Johnnie Lynn,167,7
Tom Olivadotti,168,8
Denny Marcin,169,7
John Fox,170,14
Jim McNally,171,16
Mike Gillhamer,172,14
Bob Wylie,173,16
Kippy Brown,174,5
Joe Daniels,175,7
Willy Robinson,176,3
Jim Pyne,177,7
Turk Schonert,178,7
Doug Marrone,179,14
Ralph Hawkins,180,15
John Bonamego,181,2
Tom Hayes,182,14
Marion Hobby,183,16
Gary Gibbs,184,17
John Bunting,185,7
Phil Pettey,186,7
Mike Riley,187,7
Deek Pollard,188,3
Tom Coughlin,189,2
Ed Orgeron,190,14
Rickey Jackson,191,7
John Morton,192,14
Carlos Mainord,193,8
Rodney Holman,194,7
Bill Meyers,195,7
Tom Bass,196,14
Larrye Weaver,197,7
Don Coryell,198,7
Ralph Friedgen,199,7
Willie Brown,200,7
Chet Franklin,201,7
Joe Madro,202,7
Bob Mischak,203,7
Sam Boghosian,204,7
Lew Erber,205,7
Ray Willsey,206,7
Tom Flores,207,7
Bobby Ross,208,7
Dwain Painter,209,7
Jerry Sullivan,210,7
Sylvester Croom,211,7
Jack Reilly,212,7
Kevin O'Dea,213,7
Dennis Murphy,214,7
Dave Adolph,215,7
Stan Kwan,216,7
Frank Falks,217,7
Fred Biletnikoff,218,7
Joe Scannella,219,7
Tom Walsh,220,7
Art Shell,221,7
Jack Stanton,222,7
Sam Gruneisen,223,7
Bill Urbanik,224,7
Kim Helton,225,7
Terry Robiskie,226,13
Mike White,227,7
John Guy,228,7
Gunther Cunningham,229,7
Doug Graber,230,7
JD Helm,231,7
Richard Williamson,232,14
Willie Peete,233,7
Pete McCulley,234,7
John Mackovic,235,7
Bill Arnsparger,236,7
George DeLeone,237,12
Kevin Lempa,238,7
Rod Perry,239,7
Joe Pascale,240,7
Mike Cavanaugh,241,7
Bill MacDermott,242,7
Jerry Smith,243,7
Tyrone Dixon,244,7
Ollie Wilson,245,7
Kevin Gilbride,246,2
Al Saunders,247,7
Jerry Rhome,248,7
Bobby Jackson,249,7
Charlie Joiner,250,7
Joe Bugel,251,7
June Jones,252,7
Mike Haluchak,253,7
Ron Lynn,254,7
Jerry Wampfler,255,7
Dave Levy,256,7
Jackie Simpson,257,9
George O'Leary,258,3
LeCharls McDaniel,259,7
Ed White,260,7
Ted Tollner,261,7
Earnel Durden,262,7
Dan Henning,263,7
Jack Pardee,264,2
Ernie Zampese,265,3
Joe Gibbs,266,7
Larry Pasquale,267,2
Chuck Clausen,268,7
Alex Gibbs,269,15
Steve Shafer,270,3
Fred Whittingham,271,3
Paul Hackett,272,7
Marty Schottenheimer,273,7
