coach_a,coach_b,team,year,edge_weight,edge_type
248,562,Arizona Cardinals,1980,1,costaff
248,607,Arizona Cardinals,1980,1,costaff
562,607,Arizona Cardinals,1980,1,costaff
607,248,Arizona Cardinals,1981,1,costaff
607,562,Arizona Cardinals,1981,1,costaff
248,562,Arizona Cardinals,1981,1,costaff
607,562,Arizona Cardinals,1982,1,costaff
607,248,Arizona Cardinals,1982,1,costaff
607,518,Arizona Cardinals,1982,1,costaff
562,248,Arizona Cardinals,1982,1,costaff
562,518,Arizona Cardinals,1982,1,costaff
248,518,Arizona Cardinals,1982,1,costaff
562,1347,Arizona Cardinals,1983,1,costaff
562,248,Arizona Cardinals,1983,1,costaff
562,518,Arizona Cardinals,1983,1,costaff
562,357,Arizona Cardinals,1983,1,costaff
562,607,Arizona Cardinals,1983,1,costaff
1347,248,Arizona Cardinals,1983,1,costaff
1347,518,Arizona Cardinals,1983,1,costaff
1347,357,Arizona Cardinals,1983,1,costaff
1347,607,Arizona Cardinals,1983,1,costaff
248,518,Arizona Cardinals,1983,1,costaff
248,357,Arizona Cardinals,1983,1,costaff
248,607,Arizona Cardinals,1983,1,costaff
518,357,Arizona Cardinals,1983,1,costaff
518,607,Arizona Cardinals,1983,1,costaff
357,607,Arizona Cardinals,1983,1,costaff
1347,248,Arizona Cardinals,1984,1,costaff
1347,518,Arizona Cardinals,1984,1,costaff
1347,357,Arizona Cardinals,1984,1,costaff
1347,562,Arizona Cardinals,1984,1,costaff
1347,607,Arizona Cardinals,1984,1,costaff
248,518,Arizona Cardinals,1984,1,costaff
248,357,Arizona Cardinals,1984,1,costaff
248,562,Arizona Cardinals,1984,1,costaff
248,607,Arizona Cardinals,1984,1,costaff
518,357,Arizona Cardinals,1984,1,costaff
518,562,Arizona Cardinals,1984,1,costaff
518,607,Arizona Cardinals,1984,1,costaff
357,562,Arizona Cardinals,1984,1,costaff
357,607,Arizona Cardinals,1984,1,costaff
562,607,Arizona Cardinals,1984,1,costaff
607,562,Arizona Cardinals,1985,1,costaff
607,566,Arizona Cardinals,1985,1,costaff
607,518,Arizona Cardinals,1985,1,costaff
562,566,Arizona Cardinals,1985,1,costaff
562,518,Arizona Cardinals,1985,1,costaff
566,518,Arizona Cardinals,1985,1,costaff
562,240,Arizona Cardinals,1986,1,costaff
562,563,Arizona Cardinals,1986,1,costaff
240,563,Arizona Cardinals,1986,1,costaff
562,240,Arizona Cardinals,1987,1,costaff
562,563,Arizona Cardinals,1987,1,costaff
240,563,Arizona Cardinals,1987,1,costaff
562,240,Arizona Cardinals,1988,1,costaff
562,563,Arizona Cardinals,1988,1,costaff
240,563,Arizona Cardinals,1988,1,costaff
562,240,Arizona Cardinals,1989,1,costaff
562,1349,Arizona Cardinals,1989,1,costaff
240,1349,Arizona Cardinals,1989,1,costaff
134,387,Arizona Cardinals,1990,1,costaff
134,106,Arizona Cardinals,1990,1,costaff
134,111,Arizona Cardinals,1990,1,costaff
387,106,Arizona Cardinals,1990,1,costaff
387,111,Arizona Cardinals,1990,1,costaff
106,111,Arizona Cardinals,1990,1,costaff
387,545,Arizona Cardinals,1991,1,costaff
387,111,Arizona Cardinals,1991,1,costaff
387,134,Arizona Cardinals,1991,1,costaff
545,111,Arizona Cardinals,1991,1,costaff
545,134,Arizona Cardinals,1991,1,costaff
111,134,Arizona Cardinals,1991,1,costaff
387,545,Arizona Cardinals,1992,1,costaff
387,111,Arizona Cardinals,1992,1,costaff
387,134,Arizona Cardinals,1992,1,costaff
545,111,Arizona Cardinals,1992,1,costaff
545,134,Arizona Cardinals,1992,1,costaff
