from_coach_id,to_coach_id,team,year,from_role,to_role,edge_weight,edge_type
562,248,Arizona Cardinals,1980,Head Coach,Coordinator,1,hierarchical
607,248,Arizona Cardinals,1980,Head Coach,Coordinator,1,hierarchical
607,248,Arizona Cardinals,1981,Head Coach,Coordinator,1,hierarchical
562,248,Arizona Cardinals,1981,Head Coach,Coordinator,1,hierarchical
607,248,Arizona Cardinals,1982,Head Coach,Coordinator,1,hierarchical
562,248,Arizona Cardinals,1982,Head Coach,Coordinator,1,hierarchical
518,248,Arizona Cardinals,1982,Head Coach,Coordinator,1,hierarchical
562,1347,Arizona Cardinals,1983,Head Coach,Specialist Coach,1,hierarchical
562,248,Arizona Cardinals,1983,Head Coach,Coordinator,1,hierarchical
562,357,Arizona Cardinals,1983,Head Coach,Coordinator,1,hierarchical
248,1347,Arizona Cardinals,1983,Coordinator,Specialist Coach,1,hierarchical
518,1347,Arizona Cardinals,1983,Head Coach,Specialist Coach,1,hierarchical
518,248,Arizona Cardinals,1983,Head Coach,Coordinator,1,hierarchical
518,357,Arizona Cardinals,1983,Head Coach,Coordinator,1,hierarchical
357,1347,Arizona Cardinals,1983,Coordinator,Specialist Coach,1,hierarchical
607,1347,Arizona Cardinals,1983,Head Coach,Specialist Coach,1,hierarchical
607,248,Arizona Cardinals,1983,Head Coach,Coordinator,1,hierarchical
607,357,Arizona Cardinals,1983,Head Coach,Coordinator,1,hierarchical
248,1347,Arizona Cardinals,1984,Coordinator,Specialist Coach,1,hierarchical
518,1347,Arizona Cardinals,1984,Head Coach,Specialist Coach,1,hierarchical
518,248,Arizona Cardinals,1984,Head Coach,Coordinator,1,hierarchical
518,357,Arizona Cardinals,1984,Head Coach,Coordinator,1,hierarchical
357,1347,Arizona Cardinals,1984,Coordinator,Specialist Coach,1,hierarchical
562,1347,Arizona Cardinals,1984,Head Coach,Specialist Coach,1,hierarchical
562,248,Arizona Cardinals,1984,Head Coach,Coordinator,1,hierarchical
562,357,Arizona Cardinals,1984,Head Coach,Coordinator,1,hierarchical
607,1347,Arizona Cardinals,1984,Head Coach,Specialist Coach,1,hierarchical
607,248,Arizona Cardinals,1984,Head Coach,Coordinator,1,hierarchical
607,357,Arizona Cardinals,1984,Head Coach,Coordinator,1,hierarchical
607,566,Arizona Cardinals,1985,Head Coach,Coordinator,1,hierarchical
562,566,Arizona Cardinals,1985,Head Coach,Coordinator,1,hierarchical
518,566,Arizona Cardinals,1985,Head Coach,Coordinator,1,hierarchical
240,562,Arizona Cardinals,1986,Coordinator,Specialist Coach,1,hierarchical
563,562,Arizona Cardinals,1986,Head Coach,Specialist Coach,1,hierarchical
563,240,Arizona Cardinals,1986,Head Coach,Coordinator,1,hierarchical
240,562,Arizona Cardinals,1987,Coordinator,Specialist Coach,1,hierarchical
563,562,Arizona Cardinals,1987,Head Coach,Specialist Coach,1,hierarchical
563,240,Arizona Cardinals,1987,Head Coach,Coordinator,1,hierarchical
240,562,Arizona Cardinals,1988,Coordinator,Specialist Coach,1,hierarchical
563,562,Arizona Cardinals,1988,Head Coach,Specialist Coach,1,hierarchical
563,240,Arizona Cardinals,1988,Head Coach,Coordinator,1,hierarchical
240,562,Arizona Cardinals,1989,Coordinator,Specialist Coach,1,hierarchical
1349,562,Arizona Cardinals,1989,Head Coach,Specialist Coach,1,hierarchical
1349,240,Arizona Cardinals,1989,Head Coach,Coordinator,1,hierarchical
134,387,Arizona Cardinals,1990,Head Coach,Specialist Coach,1,hierarchical
134,106,Arizona Cardinals,1990,Head Coach,Coordinator,1,hierarchical
134,111,Arizona Cardinals,1990,Head Coach,Coordinator,1,hierarchical
106,387,Arizona Cardinals,1990,Coordinator,Specialist Coach,1,hierarchical
111,387,Arizona Cardinals,1990,Coordinator,Specialist Coach,1,hierarchical
545,387,Arizona Cardinals,1991,Coordinator,Specialist Coach,1,hierarchical
111,387,Arizona Cardinals,1991,Coordinator,Specialist Coach,1,hierarchical
134,387,Arizona Cardinals,1991,Head Coach,Specialist Coach,1,hierarchical
134,545,Arizona Cardinals,1991,Head Coach,Coordinator,1,hierarchical
134,111,Arizona Cardinals,1991,Head Coach,Coordinator,1,hierarchical
545,387,Arizona Cardinals,1992,Coordinator,Specialist Coach,1,hierarchical
111,387,Arizona Cardinals,1992,Coordinator,Specialist Coach,1,hierarchical
134,387,Arizona Cardinals,1992,Head Coach,Specialist Coach,1,hierarchical
134,545,Arizona Cardinals,1992,Head Coach,Coordinator,1,hierarchical
134,111,Arizona Cardinals,1992,Head Coach,Coordinator,1,hierarchical
545,387,Arizona Cardinals,1993,Coordinator,Specialist Coach,1,hierarchical
111,387,Arizona Cardinals,1993,Coordinator,Specialist Coach,1,hierarchical
134,387,Arizona Cardinals,1993,Head Coach,Specialist Coach,1,hierarchical
134,545,Arizona Cardinals,1993,Head Coach,Coordinator,1,hierarchical
134,111,Arizona Cardinals,1993,Head Coach,Coordinator,1,hierarchical
564,565,Arizona Cardinals,1994,Coordinator,Specialist Coach,1,hierarchical
255,565,Arizona Cardinals,1994,Coordinator,Specialist Coach,1,hierarchical
199,564,Arizona Cardinals,1994,Head Coach,Coordinator,1,hierarchical
199,565,Arizona Cardinals,1994,Head Coach,Specialist Coach,1,hierarchical
199,255,Arizona Cardinals,1994,Head Coach,Coordinator,1,hierarchical
199,564,Arizona Cardinals,1995,Head Coach,Coordinator,1,hierarchical
199,255,Arizona Cardinals,1995,Head Coach,Coordinator,1,hierarchical
327,503,Arizona Cardinals,1996,Head Coach,Coordinator,1,hierarchical
327,65,Arizona Cardinals,1996,Head Coach,Coordinator,1,hierarchical
327,566,Arizona Cardinals,1997,Head Coach,Coordinator,1,hierarchical
327,503,Arizona Cardinals,1997,Head Coach,Coordinator,1,hierarchical
327,503,Arizona Cardinals,1998,Head Coach,Coordinator,1,hierarchical
327,190,Arizona Cardinals,1998,Head Coach,Coordinator,1,hierarchical
327,503,Arizona Cardinals,1999,Head Coach,Coordinator,1,hierarchical
327,190,Arizona Cardinals,1999,Head Coach,Coordinator,1,hierarchical
503,517,Arizona Cardinals,2000,Coordinator,Specialist Coach,1,hierarchical
190,517,Arizona Cardinals,2000,Coordinator,Specialist Coach,1,hierarchical
