0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
"['Carolina Panthers', 2025]","{'Role': 'Owner', 'Name': 'David Tepper'}","{'Role': 'President', 'Name': 'Kristi Coleman'}","{'Role': 'President of football operations/general manager', 'Name': 'Dan Morgan'}","{'Role': 'Executive vice president of football operations', 'Name': 'Brandt Tilis'}","{'Role': 'Vice president of football analytics', 'Name': 'Eric Eager'}","{'Role': 'Vice president of development/football administration', 'Name': 'Brian Decker'}","{'Role': 'Director of pro scouting', 'Name': 'Lee McNeill'}","{'Role': 'Director of college scouting', 'Name': 'Jared Kirksey'}","{'Role': 'Assistant director of college scouting', 'Name': 'Dave Whittington'}","{'Role': 'Head coach', 'Name': 'Dave Canales'}","{'Role': 'Assistant head coach/run game coordinator', 'Name': 'Harold Goodwin'}","{'Role': 'Offensive coordinator', 'Name': 'Brad Idzik'}","{'Role': 'Quarterbacks', 'Name': 'Will Harriger'}","{'Role': 'Assistant quarterbacks coach/pass game specialist', 'Name': 'Mike Bercovici'}","{'Role': 'Running backs', 'Name': 'Bernie Parmalee'}","{'Role': 'Wide receivers', 'Name': 'Rob Moore'}","{'Role': 'Tight ends', 'Name': 'Pat McPherson'}","{'Role': 'Offensive line', 'Name': 'Joe Gilbert'}","{'Role': 'Offensive assistant', 'Name': 'Keyshawn Colmon'}","{'Role': 'Offensive quality control', 'Name': 'Dean Petzing'}","{'Role': 'Defensive coordinator', 'Name': 'Ejiro Evero'}","{'Role': 'Defensive passing game coordinator', 'Name': 'Jonathan Cooley'}","{'Role': 'Defensive line', 'Name': 'Todd Wash'}","{'Role': 'Linebackers', 'Name': 'Peter Hansen'}","{'Role': 'Outside linebackers', 'Name': 'A.C. Carter'}","{'Role': 'Assistant linebackers coach', 'Name': 'Mayur Chaudhari'}","{'Role': 'Secondary', 'Name': 'Renaldo Hill'}","{'Role': 'Senior defensive assistant', 'Name': 'Dom Capers'}","{'Role': 'Defensive assistant', 'Name': 'Kevin Peterson'}","{'Role': 'Special teams coordinator', 'Name': 'Tracy Smith'}","{'Role': 'Assistant special teams coordinator', 'Name': 'Daren Bates'}","{'Role': 'Strength and conditioning', 'Name': 'Jeremy Scott'}","{'Role': 'Strength and conditioning assistant/return to play coordinator', 'Name': 'Thomas Barbeau'}","{'Role': 'Human performance assistant', 'Name': 'Timothy Rabas'}",,,,,,,,,,,,,,,,,,,,,,
"['Cleveland Browns', 2025]","{'Role': 'Principal partners', 'Name': 'Jimmy Haslam , Dee Haslam'}","{'Role': 'Managing partner', 'Name': 'Whitney Haslam Johnson'}","{'Role': 'Partner/Executive vice president', 'Name': 'J. W. Johnson'}","{'Role': 'Limited partner', 'Name': 'Charles Woodson'}","{'Role': 'President', 'Name': 'David Jenkins'}","{'Role': 'Executive vice president of football operations/general manager', 'Name': 'Andrew Berry'}","{'Role': 'Vice president of football operations/assistant general manager', 'Name': 'Catherine Hickman'}","{'Role': 'Vice president of football administration', 'Name': 'Chris Cooper'}","{'Role': 'Director of football administration', 'Name': 'Taylor Young'}","{'Role': 'Director of player personnel', 'Name': 'Adam Al–Khayyal'}","{'Role': 'Director of college scouting', 'Name': 'Max Paulus'}","{'Role': 'Senior personnel/coaching executive', 'Name': 'Bob Quinn'}","{'Role': 'Senior executive advisor to the GM', 'Name': 'Jimmy Raye III'}","{'Role': 'Advisor to the GM', 'Name': 'Chris Polian'}","{'Role': 'Director of football operations & process', 'Name': 'Joy Tapajcik'}","{'Role': 'Football operations assistant', 'Name': 'Hunter Carson'}","{'Role': 'Vice President of research and strategy', 'Name': 'Dave Giuliani'}","{'Role': 'Director of scouting research', 'Name': 'Mike Cetta'}","{'Role': 'Director of football information systems', 'Name': 'Brad DeAngelis'}","{'Role': 'Head coach', 'Name': 'Kevin Stefanski'}","{'Role': 'Assistant head coach/special teams coordinator', 'Name': 'Ray Ventrone'}","{'Role': 'Offensive coordinator', 'Name': 'Tommy Rees'}","{'Role': 'Quarterbacks', 'Name': 'Bill Musgrave'}","{'Role': 'Running backs', 'Name': 'Duce Staley'}","{'Role': 'Pass game coordinator/wide receivers', 'Name': ""Chad O'Shea""}","{'Role': 'Assistant wide receivers', 'Name': 'Stephen Bravo–Brown'}","{'Role': 'Tight ends', 'Name': 'Christian Jones'}","{'Role': 'Offensive line', 'Name': 'Mike Bloomgren'}","{'Role': 'Assistant offensive line', 'Name': 'Sanders Davis'}","{'Role': 'Assistant offensive line', 'Name': 'Ben Wilkerson'}","{'Role': 'Pass game specialist', 'Name': 'Nick Charlton'}","{'Role': 'Bill Willis diversity coaching fellow', 'Name': 'Nemo Washington'}","{'Role': 'Defensive coordinator', 'Name': 'Jim Schwartz'}","{'Role': 'Defensive line', 'Name': 'Jacques Cesaire'}","{'Role': 'Assistant defensive line', 'Name': 'Adam Morris'}","{'Role': 'Linebackers', 'Name': 'Jason Tarver'}","{'Role': 'Cornerbacks', 'Name': 'Brandon Lynch'}","{'Role': 'Safeties', 'Name': 'Ephraim Banda'}","{'Role': 'Defensive assistant', 'Name': 'Zach Dunn'}","{'Role': 'Defensive quality control', 'Name': 'Jeff Anderson'}","{'Role': 'Assistant special teams', 'Name': 'Kyle Hoke'}","{'Role': 'Director, strength and conditioning', 'Name': 'Larry Jackson'}","{'Role': 'Player Development Coordinator', 'Name': 'Anthony Fabiano'}","{'Role': 'Assistant strength and conditioning/sports science', 'Name': 'Josh Christovich'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Monty Gibson'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Dale Jones'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Ty Taylor'}","{'Role': 'Assistant of Performance Nutrition', 'Name': 'Grace Kennedy'}","{'Role': 'Director of performance nutrition', 'Name': 'Kelsey Fahy'}",,,,,,,
"['Atlanta Falcons', 2025]","{'Role': 'Owner/chairman', 'Name': 'Arthur Blank'}","{'Role': 'President/CEO', 'Name': 'Greg Beadles'}","{'Role': 'General manager', 'Name': 'Terry Fontenot'}","{'Role': 'Assistant general manager', 'Name': 'Kyle Smith'}","{'Role': 'Vice president of football operations/player personnel', 'Name': 'Ryan Pace'}","{'Role': 'Director of college scouting', 'Name': 'Adetokunbo Abanikanda'}","{'Role': 'Assistant director of college scouting', 'Name': 'Michael Ross'}","{'Role': 'Director of coaching operations', 'Name': 'Brian Griffin'}","{'Role': 'Senior director of football administration', 'Name': 'Chris Olsen'}","{'Role': 'Senior personnel executive', 'Name': 'Ruston Webster'}","{'Role': 'Head coach', 'Name': 'Raheem Morris'}","{'Role': 'Assistant head coach/defense', 'Name': 'Jerry Gray'}","{'Role': 'Offensive coordinator', 'Name': 'Zac Robinson'}","{'Role': 'Wide receivers/pass game coordinator', 'Name': 'T. J. Yates'}","{'Role': 'Quarterbacks', 'Name': 'D. J. Williams'}","{'Role': 'Running backs', 'Name': 'Michael Pitre'}","{'Role': 'Tight ends', 'Name': 'Kevin Koger'}","{'Role': 'Run game coordinator/offensive line', 'Name': 'Dwayne Ledford'}","{'Role': 'Assistant offensive line', 'Name': 'Shawn Flaherty'}","{'Role': 'Assistant offensive line', 'Name': 'Nick Jones'}","{'Role': 'Senior offensive assistant', 'Name': 'Ken Zampese'}","{'Role': 'Offensive assistant', 'Name': 'K.J. Black'}","{'Role': 'Offensive assistant', 'Name': 'Patrick Kramer'}","{'Role': 'Pass game specialist/game management', 'Name': 'Tim Berbenich'}","{'Role': 'Defensive coordinator', 'Name': 'Jeff Ulbrich'}","{'Role': 'Defensive passing game coordinator', 'Name': 'Mike Rutenberg'}","{'Role': 'Defensive line', 'Name': 'Nate Ollie'}","{'Role': 'Inside linebackers', 'Name': 'Barrett Ruud'}","{'Role': 'Outside linebackers', 'Name': 'Jacquies Smith'}","{'Role': 'Secondary', 'Name': 'Justin Hood'}","{'Role': 'Senior defensive assistant', 'Name': 'Dave Huxtable'}","{'Role': 'Defensive assistant', 'Name': 'Lance Schulters'}","{'Role': 'Defensive assistant', 'Name': 'John Timu'}","{'Role': 'Special teams coordinator', 'Name': 'Marquice Williams'}","{'Role': 'Assistant special teams', 'Name': 'Steven King'}","{'Role': 'Director of Player Performance', 'Name': 'John Griffin'}","{'Role': 'Assistant director of strength & conditioning', 'Name': 'Paul Constantine'}","{'Role': 'Assistant director of strength & conditioning', 'Name': 'Erik Jernstrom'}","{'Role': 'Assistant director of strength & conditioning', 'Name': 'Josh Nelson'}",,,,,,,,,,,,,,,,,
"['Arizona Cardinals', 2025]","{'Role': 'Owner/chairman/president', 'Name': 'Michael Bidwill'}","{'Role': 'General manager', 'Name': 'Monti Ossenfort'}","{'Role': 'Assistant general manager', 'Name': 'Dave Sears'}","{'Role': 'Vice president of football operations & facilities', 'Name': 'Matt Caracciolo'}","{'Role': 'Director of pro personnel', 'Name': 'Glen Fox'}","{'Role': 'Vice President of player personnel', 'Name': 'Rob Kisiel'}","{'Role': 'Director of college scouting', 'Name': 'Ryan Gold'}","{'Role': 'Director of football administration', 'Name': 'Matt Harriss'}","{'Role': 'Head coach', 'Name': 'Jonathan Gannon'}","{'Role': 'Assistant head coach/special teams coordinator', 'Name': 'Jeff Rodgers'}","{'Role': 'Offensive coordinator', 'Name': 'Drew Petzing'}","{'Role': 'Quarterbacks', 'Name': 'Israel Woolfork'}","{'Role': 'Running backs', 'Name': 'Autry Denson'}","{'Role': 'Passing game coordinator/wide receivers', 'Name': 'Drew Terrell'}","{'Role': 'Tight ends', 'Name': 'Ben Steele'}","{'Role': 'Offensive line', 'Name': 'Justin Frye'}","{'Role': 'Assistant offensive line', 'Name': 'Chris Cook'}","{'Role': 'Pass game specialist', 'Name': 'Connor Senger'}","{'Role': 'Offensive quality control', 'Name': 'Blaine Gautier'}","{'Role': 'Defensive coordinator', 'Name': 'Nick Rallis'}","{'Role': 'Defensive line', 'Name': 'Winston DeLattiboudere III'}","{'Role': 'Linebackers', 'Name': 'Cristian Garcia'}","{'Role': 'Outside linebackers', 'Name': 'Matt Feeney'}","{'Role': 'Defensive backs', 'Name': 'Patrick Toney'}","{'Role': 'Cornerbacks', 'Name': 'Ryan Smith'}","{'Role': 'Defensive quality control', 'Name': 'Ronald Booker'}","{'Role': 'Defensive quality control', 'Name': 'Alec Osborne'}","{'Role': 'Assistant special teams', 'Name': 'Sam Sewell'}","{'Role': 'Director, football performance', 'Name': 'Shea Thompson'}","{'Role': 'Head strength and conditioning', 'Name': 'Evan Marcus'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Everrett Gathron'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Jason Benguche'}","{'Role': 'Sports science coordinator/assistant strength and conditioning', 'Name': 'Kyle Sammons'}","{'Role': 'Senior reconditioning coordinator', 'Name': 'Buddy Morris'}",,,,,,,,,,,,,,,,,,,,,,
"['Baltimore Ravens', 2025]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Dallas Cowboys', 2025]","{'Role': 'Owner/president/general manager', 'Name': 'Jerry Jones'}","{'Role': 'COO/executive vice president/director of player personnel', 'Name': 'Stephen Jones'}","{'Role': 'Executive vice president/chief brand officer', 'Name': 'Charlotte Jones Anderson'}","{'Role': 'Executive vice president/chief of sales', 'Name': 'Jerry Jones Jr.'}","{'Role': 'Vice president of player personnel', 'Name': 'Will McClay'}","{'Role': 'Senior director of football operations/football administration', 'Name': 'Todd Williams'}","{'Role': 'Director of football administration and technology', 'Name': 'Jason McKay'}","{'Role': 'Director of college scouting', 'Name': 'Mitch LaPoint'}","{'Role': 'Assistant director of college scouting', 'Name': 'Chris Vaughn'}","{'Role': 'Director of pro scouting', 'Name': 'Alex Loomis'}","{'Role': 'Director of strategic football operations', 'Name': 'John Park'}","{'Role': 'Director of salary cap/player contracts', 'Name': 'Adam Prasifka'}","{'Role': 'Director of player development', 'Name': 'Bryan Wansley'}","{'Role': 'Head coach', 'Name': 'Brian Schottenheimer'}","{'Role': 'Offensive coordinator', 'Name': 'Klayton Adams'}","{'Role': 'Quarterbacks', 'Name': 'Steve Shimko'}","{'Role': 'Running backs', 'Name': 'Derrick Foster'}","{'Role': 'Wide receivers', 'Name': 'Junior Adams'}","{'Role': 'Assistant wide receivers', 'Name': 'Tiquan Underwood'}","{'Role': 'Tight ends', 'Name': 'Lunda Wells'}","{'Role': 'Offensive line', 'Name': 'Conor Riley'}","{'Role': 'Assistant offensive line', 'Name': 'Ramon Chinyoung'}","{'Role': 'Pass game specialist', 'Name': 'Ken Dorsey'}","{'Role': 'Quarterback fellowship', 'Name': 'Dele Harding'}","{'Role': 'Game management coordinator', 'Name': 'Ryan Feder'}","{'Role': 'Defensive coordinator', 'Name': 'Matt Eberflus'}","{'Role': 'Defensive line', 'Name': 'Aaron Whitecotton'}","{'Role': 'Assistant defensive line', 'Name': 'Bryan Bing'}","{'Role': 'Linebackers', 'Name': 'Dave Borgonzi'}","{'Role': 'Defensive passing game coordinator/safeties', 'Name': 'Andre Curtis'}","{'Role': 'Cornerbacks/secondary', 'Name': 'David Overstreet II'}","{'Role': 'Secondary/nickels', 'Name': 'Darian Thompson'}","{'Role': 'Defensive assistant/quality control', 'Name': 'JJ Clark'}","{'Role': 'Defensive assistant/quality control', 'Name': 'Tanzel Smart'}","{'Role': 'Special teams coordinator', 'Name': 'Nick Sorensen'}","{'Role': 'Assistant special teams', 'Name': 'Carlos Polk'}","{'Role': 'Chief of staff', 'Name': 'Tyler Boyles'}","{'Role': 'Strength and conditioning', 'Name': 'Harold Nash'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Cedric Smith'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Kendall Smith'}","{'Role': 'Assistant strength and conditioning/sport science', 'Name': 'Braylon Tatum'}",,,,,,,,,,,,,,,
"['Cincinnati Bengals', 2025]","{'Role': 'Owner/president', 'Name': 'Mike Brown'}","{'Role': 'Executive vice president', 'Name': 'Katie Blackburn'}","{'Role': 'Vice president', 'Name': 'Troy Blackburn'}","{'Role': 'Vice president of player personnel', 'Name': 'Paul H. Brown'}","{'Role': 'Director of player personnel', 'Name': 'Duke Tobin'}","{'Role': 'Assistant general manager', 'Name': 'Trey Brown'}","{'Role': 'Assistant general manager', 'Name': 'Mike Potts'}","{'Role': 'Assistant general manager', 'Name': 'Steven Radicivec'}","{'Role': 'Director of football research', 'Name': 'Sam Francis'}","{'Role': 'Head coach', 'Name': 'Zac Taylor'}","{'Role': 'Assistant head coach/special teams coordinator', 'Name': 'Darrin Simmons'}","{'Role': 'Offensive coordinator', 'Name': 'Dan Pitcher'}","{'Role': 'Passing game coordinator', 'Name': 'Justin Rascati'}","{'Role': 'Quarterbacks', 'Name': 'Brad Kragthorpe'}","{'Role': 'Assistant quarterbacks', 'Name': 'Fredi Knighten'}","{'Role': 'Running backs', 'Name': 'Justin Hill'}","{'Role': 'Wide receivers', 'Name': 'Troy Walters'}","{'Role': 'Assistant wide receivers', 'Name': 'Jordan Salkin'}","{'Role': 'Tight ends', 'Name': 'James Casey'}","{'Role': 'Offensive line', 'Name': 'Scott Peters'}","{'Role': 'Assistant offensive line', 'Name': 'Michael McCarthy'}","{'Role': 'Defensive coordinator', 'Name': 'Al Golden'}","{'Role': 'Defensive line/run game coordinator', 'Name': 'Jerry Montgomery'}","{'Role': 'Linebackers', 'Name': 'Michael Hodges'}","{'Role': 'Secondary/cornerbacks', 'Name': 'Charles Burks'}","{'Role': 'Secondary/safeties', 'Name': 'Jordan Kovacs'}","{'Role': 'Senior defensive assistant', 'Name': 'Sean Desai'}","{'Role': 'Defensive assistant', 'Name': 'Ronnie Regula'}","{'Role': 'Defensive assistant', 'Name': 'Mike Moon'}","{'Role': 'Assistant special teams', 'Name': 'Ben Jacobs'}","{'Role': 'Strength and conditioning', 'Name': 'Joey Boese'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Todd Hunt'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Garrett Swanson'}",,,,,,,,,,,,,,,,,,,,,,,
"['Buffalo Bills', 2025]","{'Role': 'v', 'Name': ''}","{'Role': 't', 'Name': ''}","{'Role': 'e', 'Name': ''}","{'Role': 'Owner/CEO/president', 'Name': 'Terry Pegula'}","{'Role': 'Owner', 'Name': 'Kim Pegula'}","{'Role': 'General manager', 'Name': 'Brandon Beane'}","{'Role': 'Assistant general manager', 'Name': 'Brian Gaine'}","{'Role': 'Assistant general manager', 'Name': 'Terrance Gray'}","{'Role': 'Senior advisor to the GM/football operations', 'Name': 'Jim Overdorf'}","{'Role': 'Senior personnel advisor', 'Name': 'Malik Boyd'}","{'Role': 'Co–director of pro scouting', 'Name': 'Chris Marrow'}","{'Role': 'Co–director of pro scouting', 'Name': 'Curtis Rukavina'}","{'Role': 'Assistant director of pro scouting', 'Name': 'Asil Mulbah'}","{'Role': 'Vice president of football administration', 'Name': 'Kevin Meganck'}","{'Role': 'Director of football operations', 'Name': 'Brendan Rowe'}","{'Role': 'Director of college scouting', 'Name': 'Matt Bazirgan'}","{'Role': 'Vice president of football research', 'Name': 'Dennis Lock'}","{'Role': 'Head coach', 'Name': 'Sean McDermott'}","{'Role': 'Offensive coordinator', 'Name': 'Joe Brady'}","{'Role': 'Quarterbacks', 'Name': 'Ronald Curry'}","{'Role': 'Running backs', 'Name': 'Kelly Skipper'}","{'Role': 'Wide receivers', 'Name': 'Adam Henry'}","{'Role': 'Offensive quality control/assistant wide receivers', 'Name': 'DJ Mangas'}","{'Role': 'Tight ends', 'Name': 'Rob Boras'}","{'Role': 'Offensive line', 'Name': 'Aaron Kromer'}","{'Role': 'Assistant offensive line', 'Name': 'Austin Gund'}","{'Role': 'Passing game specialist/game management', 'Name': 'Marc Lubick'}","{'Role': 'Offensive quality control', 'Name': 'Kyle Shurmur'}","{'Role': 'Defensive coordinator', 'Name': 'Bobby Babich'}","{'Role': 'Defensive line', 'Name': 'Marcus West'}","{'Role': 'Assistant defensive line', 'Name': 'Jason Rebrovich'}","{'Role': 'Linebackers', 'Name': 'Al Holcomb'}","{'Role': 'Cornerbacks', 'Name': 'Jahmile Addae'}","{'Role': 'Nickel', 'Name': 'Mike Pellegrino'}","{'Role': 'Safeties', 'Name': 'Joe Danna'}","{'Role': 'Senior defensive assistant', 'Name': 'Ryan Nielsen'}","{'Role': 'Special teams coordinator', 'Name': 'Chris Tabor'}","{'Role': 'Assistant special teams', 'Name': 'Turner West'}","{'Role': 'Director of team administration', 'Name': 'Matt Worswick'}","{'Role': 'Head strength and conditioning', 'Name': 'Will Greenberg'}","{'Role': 'Senior strength and conditioning assistant', 'Name': 'Barry Rubin'}","{'Role': 'Assistant strength & conditioning', 'Name': 'Hal Luther'}","{'Role': 'Assistant strength & conditioning', 'Name': 'Nick Lacy'}","{'Role': 'Assistant strength & conditioning', 'Name': 'Jason Oszvart'}",,,,,,,,,,,,
"['Chicago Bears', 2025]","{'Role': 'v', 'Name': ''}","{'Role': 't', 'Name': ''}","{'Role': 'e', 'Name': ''}","{'Role': 'Chairman', 'Name': 'George McCaskey'}","{'Role': 'President/CEO', 'Name': 'Kevin Warren'}","{'Role': 'General manager', 'Name': 'Ryan Poles'}","{'Role': 'Assistant general manager', 'Name': 'Ian Cunningham'}","{'Role': 'Vice president of football administration', 'Name': 'Matt Feinstein'}","{'Role': 'Senior director of player personnel', 'Name': 'Jeff King'}","{'Role': 'Director of player personnel', 'Name': 'Trey Koziol'}","{'Role': 'Director of college scouting', 'Name': 'Breck Ackley'}","{'Role': 'Assistant director of college scouting', 'Name': 'Francis St. Paul'}","{'Role': 'Director of pro scouting', 'Name': 'DJ Hord'}","{'Role': 'Head coach', 'Name': 'Ben Johnson'}","{'Role': 'Assistant head coach/wide receivers', 'Name': 'Antwaan Randle El'}","{'Role': 'Offensive coordinator', 'Name': 'Declan Doyle'}","{'Role': 'Pass game coordinator', 'Name': 'Press Taylor'}","{'Role': 'Quarterbacks', 'Name': 'JT Barrett'}","{'Role': 'Running backs', 'Name': 'Eric Bieniemy'}","{'Role': 'Tight ends', 'Name': 'Jim Dray'}","{'Role': 'Offensive line', 'Name': 'Dan Roushar'}","{'Role': 'Assistant offensive line', 'Name': 'Kyle DeVan'}","{'Role': 'Offensive assistant (quarterbacks/receivers)', 'Name': 'Robbie Picazo'}","{'Role': 'Offensive quality control', 'Name': 'Matt Aponte'}","{'Role': 'Offensive quality control', 'Name': 'Zach Cable'}","{'Role': 'Defensive coordinator', 'Name': 'Dennis Allen'}","{'Role': 'Defensive line', 'Name': 'Jeremy Garrett'}","{'Role': 'Linebackers', 'Name': 'Richard Smith'}","{'Role': 'Assistant linebackers', 'Name': 'Kevin Koch'}","{'Role': 'Defensive backs/passing game coordinator', 'Name': 'Al Harris'}","{'Role': 'Assistant defensive backs/safeties', 'Name': 'Matt Giordano'}","{'Role': 'Senior defensive assistant', 'Name': 'Bill Johnson'}","{'Role': 'Defensive assistant (nickels)', 'Name': 'Cannon Matthews'}","{'Role': 'Defensive quality control', 'Name': 'Kenny Norton III'}","{'Role': 'Special teams coordinator', 'Name': 'Richard Hightower'}","{'Role': 'Assistant special teams', 'Name': 'Anthony Blevins'}","{'Role': 'Senior director of coaching operations', 'Name': 'Justin Rudd'}","{'Role': 'Manager of coaching administration', 'Name': 'Chavis Cook'}","{'Role': 'Director of research and analysis', 'Name': 'Harrison Freid'}","{'Role': 'Head strength and conditioning', 'Name': 'Pierre Ngo'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Allison Haley'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Noble Landry'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Reshard Langford'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Mark Philippi'}",,,,,,,,,,,,
"['Denver Broncos', 2025]","{'Role': 'v', 'Name': ''}","{'Role': 't', 'Name': ''}","{'Role': 'e', 'Name': ''}","{'Role': 'Owner', 'Name': 'Rob Walton'}","{'Role': 'Owner / CEO', 'Name': 'Greg Penner'}","{'Role': 'Owner', 'Name': 'Carrie Walton Penner'}","{'Role': 'Owner', 'Name': 'Mellody Hobson'}","{'Role': 'Owner', 'Name': 'Condoleezza Rice'}","{'Role': 'Owner', 'Name': 'Lewis Hamilton'}","{'Role': 'President', 'Name': 'Damani Leech'}","{'Role': 'General manager', 'Name': 'George Paton'}","{'Role': 'Vice president of player personnel', 'Name': 'Cody Rager'}","{'Role': 'Assistant general manager', 'Name': 'Reed Burckhardt'}","{'Role': 'Co–director of player personnel', 'Name': 'Cam Williams'}","{'Role': 'Co–director of player personnel', 'Name': 'A. J. Durso'}","{'Role': 'Director of pro personnel', 'Name': 'Jordon Dizon'}","{'Role': 'Vice president of football operations', 'Name': 'Kelly Kleine Van Calligan'}","{'Role': 'Vice president of football administration', 'Name': 'Rich Hurtado'}","{'Role': 'Vice president of player development', 'Name': 'Ray Jackson'}","{'Role': 'Director of college scouting', 'Name': 'Bryan Chesin'}","{'Role': 'Assistant director of college scouting', 'Name': 'Dave Bratten'}","{'Role': 'Senior Director of Football Technology & Research', 'Name': 'Tony Lazzaro'}","{'Role': 'Director of football analytics', 'Name': 'Scott Flaska'}","{'Role': 'Senior personnel executive', 'Name': 'Roman Phifer'}","{'Role': 'Senior personnel executive', 'Name': 'Nick Schiralli'}","{'Role': 'Head coach', 'Name': 'Sean Payton'}","{'Role': 'Assistant to the head coach', 'Name': 'Paul Kelly'}","{'Role': 'Offensive coordinator', 'Name': 'Joe Lombardi'}","{'Role': 'Offensive pass game coordinator/quarterbacks', 'Name': 'Davis Webb'}","{'Role': 'Running backs', 'Name': 'Lou Ayeni'}","{'Role': 'Wide receivers', 'Name': 'Keary Colbert'}","{'Role': 'Tight ends', 'Name': 'Austin King'}","{'Role': 'Offensive run game coordinator/assistant head coach', 'Name': 'Zach Strief'}","{'Role': 'Assistant offensive line', 'Name': 'Chris Morgan'}","{'Role': 'Director of game management/offensive line assistant', 'Name': 'Evan Rothstein'}","{'Role': 'Senior offensive assistant', 'Name': 'Pete Carmichael'}","{'Role': 'Passing game specialist', 'Name': 'Zack Grossi'}","{'Role': 'Offensive quality control', 'Name': 'Logan Kilgore'}","{'Role': 'Offensive quality control', 'Name': 'Favian Upshaw'}","{'Role': 'Defensive coordinator', 'Name': 'Vance Joseph'}","{'Role': 'Defensive line', 'Name': 'Jamar Cain'}","{'Role': 'Linebackers', 'Name': 'Isaac Shewmaker'}","{'Role': 'Inside Linebackers', 'Name': 'Jeff Schmedding'}","{'Role': 'Defensive pass game coordinator/assistant head coach', 'Name': 'Jim Leonhard'}","{'Role': 'Cornerbacks', 'Name': 'Addison Lynch'}","{'Role': 'Senior defensive assistant', 'Name': 'Joe Vitt'}","{'Role': 'Defensive quality control', 'Name': 'Todd Davis'}","{'Role': 'Defensive quality control', 'Name': 'Brian Niedermeyer'}","{'Role': 'Special teams coordinator/assistant head coach', 'Name': 'Darren Rizzi'}","{'Role': 'Assistant special teams', 'Name': 'Marwan Maalouf'}","{'Role': 'Special teams quality control', 'Name': 'Zach Line'}","{'Role': 'Vice president of player health and performance', 'Name': 'Beau Lowery'}","{'Role': 'Director of strength and conditioning', 'Name': 'Shaun Snee'}","{'Role': 'Head strength and conditioning', 'Name': 'Dan Dalrymple'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Korey Jones'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Taylor Porter'}"
