Team,Year,Role,Name
Carolina Panthers,2025,Owner,David Tepper
New Orleans Saints,1998,Strength and conditioning,Mike Woicik
New Orleans Saints,1991,Defensive line,John Pease
New Orleans Saints,1991,Defensive coordinator,Steve Sidwell
New Orleans Saints,1991,Offensive line,Paul Boudreau
New Orleans Saints,1991,Wide receivers,Steve Walters
New Orleans Saints,1991,Running backs,Jim Skipper
New Orleans Saints,1991,Offensive coordinator/quarterbacks,Carl Smith
New Orleans Saints,1991,Head coach,Jim Mora
New Orleans Saints,1991,Director of player personnel,Bill Kuharich
New Orleans Saints,1991,Vice–president of administration,Jim Miller
New Orleans Saints,1991,President/general manager,Jim Finks
New Orleans Saints,1991,Owner/general partner,Tom Benson
New Orleans Saints,1998,Assistant Strength and Conditioning,Markus Paul
New Orleans Saints,1998,Special teams,Bobby April
New Orleans Saints,1991,Defensive backs,Dom Capers
New Orleans Saints,1998,Defensive assistant,Ned James
New Orleans Saints,1998,Linebackers,Jack Del Rio
New Orleans Saints,1998,Defensive line,Walt Corey
New Orleans Saints,1998,Defensive coordinator,Zaven Yaralian
New Orleans Saints,1998,Offensive assistant,Judd Garrett
New Orleans Saints,1998,Offensive line,Dick Stanfel
New Orleans Saints,1998,Tight ends/offensive line Assistant,Dan Neal
New Orleans Saints,1998,Wide receivers,Harold Jackson
New Orleans Saints,1998,Running backs,Lary Kuharich
New Orleans Saints,1998,Quarterbacks,Tom Clements
New Orleans Saints,1998,Offensive coordinator,Danny Abramowicz
New Orleans Saints,1998,Assistant head coach/Secondary,Rick Venturi
New Orleans Saints,1991,Linebackers,Vic Fangio
New Orleans Saints,1991,Special Teams/tight ends,Joe Marciano
New Orleans Saints,1981,Head coach,Bum Phillips
New Orleans Saints,2004,Offensive line,Jack Henry
New Orleans Saints,2004,Assistant strength and conditioning,Mark Smith
New Orleans Saints,2004,Strength and conditioning,Rock Gullickson
New Orleans Saints,2004,Assistant special teams,Danny Langsdorf
New Orleans Saints,2004,Special teams coordinator,Al Everest
New Orleans Saints,2004,Defensive assistant/special projects,Joe Alley
New Orleans Saints,2004,Defensive assistant/quality control,Ty Knott
