coach,coach_id
Steve Sidwell,1
Carl Smith,2
Jim Mora,3
Ned James,4
Zaven Yaralian,5
Judd Garrett,6
Danny Abramowicz,7
Rick Venturi,8
Bum Phillips,9
Al Everest,10
Joe Alley,11
Ty Knott,12
Chip Beake,13
Mike McCarthy,14
Jim Haslett,15
Mike Ditka,16
Jim L. Mora,17
Ed Beard,18
Ed Hughes,19
Dick Nolan,20
Wade Phillips,21
Frank Warren,22
Monte Kiffin,23
Mike Woodford,24
Ron Zook,25
Jim Hostler,26
John Pagano,27
Everett Withers,28
Chip Myers,29
John Misciagna,30
King Hill,31
Rod Rust,32
Charlie Sumner,33
Jimmy Raye,34
John Polonchek,35
Joe Spencer,36
Al Groh,37
Ray Perkins,38
Bill Parcells,39
Don Blackmon,40
Raymond Berry,41
Jeff Davidson,42
Rod Humenuik,43
Maurice Carthon,44
Marcus Ungaro,45
Greg McMahon,46
Gregg Williams,47
Frank Smith,48
"Pete Carmichael, Jr.",49
Dan Reeves,50
Mike Nolan,51
George Henshaw,52
Joe Vitt,53
Sean Payton,54
Mike Sweatman,55
Bill Belichick,56
Ron Erhardt,57
Ernie Adams,58
Kerry Goode,59
Joe Walton,60
Ray Callahan,61
Bud Carson,62
Bruce Coslet,63
Jim Skipper,64
Jim Fassel,65
Al Roberts,66
Pete Carroll,67
Rich Kotite,68
Dave Brazil,69
John Fox,70
Foge Fazio,71
Mike Sheppard,72
Jack Henry,73
Doug Marrone,74
Ralph Hawkins,75
John Bonamego,76
Gary Gibbs,77
Joe Lombardi,78
Phil Pettey,79
Winston Moss,80
Greg Brown,81
Danny Langsdorf,82
Mike Riley,83
Rickey Jackson,84
John Morton,85
Bobby Grier,86
Les Steckel,87
Tom Bass,88
Larrye Weaver,89
Don Coryell,90
Ralph Friedgen,91
Joe Madro,92
Tom Flores,93
Bobby Ross,94
Jack Reilly,95
Dave Adolph,96
Tom Walsh,97
Art Shell,98
John Guy,99
Walt Corey,100
JD Helm,101
Frank Gansz,102
John Mackovic,103
Bill Arnsparger,104
Kevin Lempa,105
Joe Pascale,106
Mike Cavanaugh,107
Nick Nicolau,108
Kevin Gilbride,109
Al Saunders,110
Jerry Rhome,111
Ron Lynn,112
Jackie Simpson,113
LeCharls McDaniel,114
Ted Tollner,115
Larry Beightol,116
Dan Henning,117
Jack Pardee,118
Joe Gibbs,119
Larry Pasquale,120
Paul Hackett,121
Marty Schottenheimer,122
Darvin Wallis,123
Gunther Cunningham,124
Brian Schottenheimer,125
Jimmy Raye III,126
Jason Verduzco,127
Dick Vermeil,128
Greg Robinson,129
Russ Ball,130
Kurt Schottenheimer,131
Willie Shaw,132
Bob Sanders,133
Joe Bugel,134
Mike White,135
Tom Olivadotti,136
Todd Howard,137
John Bunting,138
Peter Giunta,139
Mike Martz,140
John Matsko,141
Mike Shula,142
Don Shula,143
John Sandusky,144
Tony Nathan,145
Dave Levy,146
Chuck Studley,147
David Shula,148
Bob Hollway,149
Jerry Burns,150
Bud Grant,151
Lionel Taylor,152
Ray Malavasi,153
John Ramsdell,154
Johnny Roland,155
Rich Brooks,156
Steve Brown,157
Matt Sheldon,158
Lovie Smith,159
Henry Ellard,160
Bobby Jackson,161
Mike Gillhamer,162
Chuck Knox,163
Anthony Griggs,164
Lou Spanos,165
Tim Lewis,166
Mike Miller,167
Chan Gailey,168
Bill Cowher,169
Mike Mularkey,170
Dick LeBeau,171
George Seifert,172
Bill Walsh,173
Tommy Hart,174
Woody Widenhofer,175
Tom Moore,176
Chuck Noll,177
Tony Dungy,178
Harold Goodwin,179
Bruce Arians,180
John Mitchell,181
Mike Tomlin,182
Alan Lowry,183
Matt Raich,184
Ken Whisenhunt,185
Russ Grimm,186
Raymond Jackson,187
Bill McPherson,188
Mike Shanahan,189
Marc Trestman,190
Greg Knapp,191
Andy Sugarman,192
Marty Mornhinweg,193
Steve Mariucci,194
Bo Pelini,195
Lynn Stiles,196
Mike Holmgren,197
Ted Plumb,198
Buddy Ryan,199
Bobby Hammond,200
Zeke Bratkowski,201
Marion Campbell,202
Ted Marchibroda,203
Fred Bruney,204
George Perles,205
Jeff Fisher,206
Walt Michaels,207
John Mazur,208
Tom Gamble,209
Jim Vechiarella,210
Joe Gardi,211
Peter Redebaugh,212
Dick Wood,213
Steve Trimble,214
Sparky Woods,215
Ray Sherman,216
Dom Capers,217
Marvin Lewis,218
Lindy Infante,219
Paul Guenther,220
Paul Alexander,221
Bob Bratkowski,222
Chuck Bresnahan,223
Sam Rutigliano,224
Louie Cioffi,225
Mark Duffner,226
John Garrett,227
Joe Scannella,228
Joe Kim,229
Eric Mangini,230
Tom Spann,231
John Settle,232
Steve Crosby,233
Dave Toub,234
Mikal Smith,235
Andrew Hayes–Stoker,236
Paul Lanham,237
Rod Marinelli,238
George Sefcik,239
Jim Shofner,240
Dan Radakovich,241
Ken Anderson,242
Bobby DePaul,243
Larry Peccatiello,244
Dave Shula,245
Sam Wyche,246
Tim Krumrie,247
Tom Bettis,248
Joe Pendry,249
Leslie Frazier,250
Bob Surace,251
Bob Trott,252
Mel Tucker,253
Frank Verducci,254
Dave Atkins,255
Rob Chudzinski,256
Ted Daisher,257
Rip Scherer,258
Romeo Crennel,259
Umberto Leone,260
Todd Grantham,261
Chris Caminiti,262
Steve Hoffman,263
Mike Zimmer,264
Dave Campo,265
Carl Crennel II,266
Kevin Spencer,267
Phil Savage,268
Bobby Trott,269
Cory Undlin,270
Jerry Rosburg,271
Ernie Stautner,272
Jim Myers,273
Tom Landry,274
Joel Collier,275
Barney Chavous,276
Joe DeCamillis,277
Glenn Smith,278
Nick Saban,279
Butch Davis,280
Phillip Banko,281
Terry Robiskie,282
Mike Pitts,283
Pete Carmichael,284
Chris Palmer,285
Billy Davis,286
Bob Slowik,287
Tony Sparano,288
Todd Bowles,289
Marv Levy,290
Chuck Dickerson,291
Cam Cameron,292
Dan Parsons,293
John Harbaugh,294
Chuck Lester,295
Tom Bresnahan,296
Elijah Pitts,297
Randy Brown,298
Greg Mattison,299
Craig Ver Steeg,300
Matt Weiss,301
Max Bowman,302
Chris Dickson,303
Ted Cottrell,304
Drew Wilkins,305
Dean Pees,306
Jason Brooks,307
Miller McCalmon,308
Don Lawrence,309
Chuck Pagano,310
Jim Ringo,311
Hank Bullough,312
Kay Stephenson,313
Bob Zeman,314
Perry Moss,315
Tom Catlin,316
Ray Prochaska,317
Dennis Allen,318
Ed Donatell,319
Robert Prince,320
Alex Gibbs,321
Herb Paterra,322
Bob Leahy,323
Jim Valek,324
Jay Harbaugh,325
Gary Kubiak,326
Vince Tobin,327
Steve Kazor,328
Forrest Gregg,329
Darrin Simmons,330
Alvin Reynolds,331
Geep Chryst,332
Danny Crossman,333
Sam Mills III,334
Mike Trgovac,335
John Marshall,336
Greg Roman,337
Richard Williamson,338
Vic Fangio,339
John Shoop,340
Mike Pope,341
Scott O'Brien,342
Martin Bayless,343
Tommy Kaiser,344
Jerry Gray,345
Sam Mills,346
Gil Haskell,347
Tom Clements,348
Sal Sunseri,349
Jack Del Rio,350
Danny Smith,351
Stan Drayton,352
Jim Johnson,353
George Hill,354
Billie Matthews,355
Tom Lovat,356
Rod Dowhower,357
Jay Robertson,358
Tom Rossley,359
Mike Sherman,360
Shawn Slocum,361
Scott McCurley,362
John Rushing,363
Joe Philbin,364
Mike Stock,365
Eric Lewis,366
Jeff Jagodzinski,367
George Catavolos,368
Rusty Tillman,369
Brad Miller,370
Darrell Bevell,371
James Campen,372
Charlie Jackson,373
Jim Bates,374
Trent Miles,375
John Becker,376
Ron Meyer,377
Bill Muir,378
Greg Briner,379
Larry Kennan,380
Ron Blackledge,381
Frank Kush,382
Chuck Weber,383
Mike McCormack,384
Ray Rychleski,385
Bill Teerlinck,386
Mike Murphy,387
Clyde Christensen,388
"Frank Cignetti, Jr.",389
Jim Caldwell,390
Diron Reynolds,391
Ron Meeks,392
Ricky Thomas,393
Rod Dowhower / Ron Meyer,394
Joel Hilgenberg,395
Dan Daniel,396
Mark Hatley,397
John Paul Young,398
Homer Smith,399
Leon Burtnett,400
Ron Meyer / Rick Venturi,401
J. D. Helm,402
Don Clemons,403
Wayne Fontes,404
Bob Baker,405
Darryl Rogers,406
Bert Hill,407
Dave Jaumotte,408
Don Doll,409
Joe Baker,410
Rick Dennison,411
Steve Watson,412
Red Miller,413
Jim Ryan,414
Mike Heimerdinger,415
Dennis Murphy,416
Sylvester Croom,417
Stan Kwan,418
John Teerlinck,419
Jim Eddy,420
Rick Smith,421
Pat McPherson,422
Harold Richardson,423
David Lee,424
Todd Haley,425
Charlie Waters,426
Ricky Porter,427
Ryan Slowik,428
Larry Coyer,429
Jeremy Bates,430
Troy Calhoun,431
Dick Modzelewski,432
Johnny Holland,433
Chuck Priefer,434
Dick Jauron,435
Sherman Lewis,436
Kevin Lartigue,437
Bob Schnelker,438
Todd Downing,439
Richard Smith,440
Dave Hanner,441
John Meyer,442
Bart Starr,443
Chuck Knox Jr.,444
Emmitt Thomas,445
Ken Zampese,446
Ray Rhodes,447
Joe Clark,448
Mouse Davis,449
Scott Linehan,450
Jim Schwartz,451
Mike McHugh,452
Chris Beake,453
George Stewart,454
Leeman Bennett,455
Brian Schneider,456
Tom Donatell,457
Andre Curtis,458
Ken Norton Jr.,459
Austin Davis,460
Andy Dickerson,461
Shane Waldron,462
Clint Hurtt,463
Howard Tippett,464
Mark Cotney,465
Jim Stanley,466
Rocky Seto,467
Tom Cable,468
Bruce DeHaven,469
John Glenn,470
Kris Richard,471
Will Harriger,472
Dave Canales,473
Quinshon Odom,474
Nick Perry,475
Karl Scott,476
Aden Durde,477
Zak Hill,478
Jake Peetz,479
Ryan Grubb,480
Mike Macdonald,481
Larry Izzo,482
Robert Saleh,483
Nate Carroll,484
Gus Bradley,485
Keith Carter,486
Jerry Colquitt,487
Pete Rodriguez,488
Steve Moore,489
Mark Michaels,490
Zerick Rollins,491
Tom Headlee,492
Bob Casullo,493
Keith Gilbertson,494
Gary Reynolds,495
Luke Butkus,496
Dan Quinn,497
Craig Johnson,498
Norm Chow,499
Steve Watterson,500
Chuck Cecil,501
Ronnie Vinklarek,502
Dave McGinnis,503
Kevin O'Dea,504
Herman Edwards,505
Wendell Avery,506
Ed Biles,507
Phil Krueger,508
John McKay,509
Bob Bowser,510
Doug Shively,511
Marquand Manuel,512
Rodney Stokes,513
Bill Clay,514
Doug Graber,515
John Bobo,516
Jeff FitzGerald,517
Floyd Peters,518
Richard Wood,519
Tom Schertz,520
Hank Kuhlmann,521
Alan Williams,522
Brian Pariani,523
Jack Patera,524
Jim Harbaugh,525
Ejiro Evero,526
Brad Seely,527
Bobby Engram,528
Jaime Hill,529
Larry Mac Duff,530
Jamie Christian,531
Dick Tomey,532
Jason Tarver,533
Jerry Olsavsky,534
Gregg Smith,535
Greg McMackin,536
Dennis Erickson,537
Joe Barry,538
Dave Brown,539
Jim Zorn,540
Eric Yarber,541
Paul Moyer,542
Arnie Matsumoto,543
Clayton Lopez,544
