role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup
Administrative,administrative,Administrative & Operations,Administrative/Operations,,
Administrative assistant,administrative assistant,Administrative & Operations,Administrative/Operations,,
Administrative Assistant,administrative assistant,Administrative & Operations,Administrative/Operations,,
Administrative Assistant to the Coaching Staff,administrative assistant to the coaching staff,Administrative & Operations,Administrative/Operations,,
Administrative assistant to the coaching staff,administrative assistant to the coaching staff,Administrative & Operations,Administrative/Operations,,
Administrative assistant/coaching,administrative assistant/coaching,Administrative & Operations,Administrative/Operations,,
Administrative Assistant/Defense,administrative assistant/defense,Administrative & Operations,Administrative/Operations,,
Administrative assistant/football operations,administrative assistant/football operations,Administrative & Operations,Administrative/Operations,,
Administrator of football operations,administrator of football operations,Administrative & Operations,Administrative/Operations,,
Administrator of Football Operations,administrator of football operations,Administrative & Operations,Administrative/Operations,,
Assistant director of player operations,assistant director of player operations,Administrative & Operations,Administrative/Operations,,
Chief operations officer,chief operations officer,Administrative & Operations,Administrative/Operations,,
Client services administrator,client services administrator,Administrative & Operations,Administrative/Operations,,
Coaches administrative assistant,coaches administrative assistant,Administrative & Operations,Administrative/Operations,,
Coaching administrative assistant,coaching administrative assistant,Administrative & Operations,Administrative/Operations,,
Coaching Administrator,coaching administrator,Administrative & Operations,Administrative/Operations,,
Coaching Administrator and Financial Liaison,coaching administrator and financial liaison,Administrative & Operations,Administrative/Operations,,
Coaching operations assistant,coaching operations assistant,Administrative & Operations,Administrative/Operations,,
Director of coaching operations,director of coaching operations,Administrative & Operations,Administrative/Operations,,
Director of operations,director of operations,Administrative & Operations,Administrative/Operations,,
Director of personnel operations,director of personnel operations,Administrative & Operations,Administrative/Operations,,
Director of Player Operations,director of player operations,Administrative & Operations,Administrative/Operations,,
Executive administrative assistant,executive administrative assistant,Administrative & Operations,Administrative/Operations,,
Executive vice–president of football operations,executive vice-president of football operations,Administrative & Operations,Administrative/Operations,,
Football operations,football operations,Administrative & Operations,Administrative/Operations,,
Football operations assistant,football operations assistant,Administrative & Operations,Administrative/Operations,,
Football operations executive,football operations executive,Administrative & Operations,Administrative/Operations,,
Human relations/office coordinator,human relations/office coordinator,Administrative & Operations,Administrative/Operations,,
Network administrator,network administrator,Administrative & Operations,Administrative/Operations,,
Scouting administrator,scouting administrator,Administrative & Operations,Administrative/Operations,,
Senior director of coaching operations,senior director of coaching operations,Administrative & Operations,Administrative/Operations,,
Senior football administrator,senior football administrator,Administrative & Operations,Administrative/Operations,,
Senior manager of coaching operations,senior manager of coaching operations,Administrative & Operations,Administrative/Operations,,
