role_original,role_cleaned,count
Vice president,vice president,82
Vice President,vice president,82
Assistant to the president,assistant to the president,14
Assistant to the President,assistant to the president,14
Vice–president,vice-president,13
Coaches’ Assistant,coaches’ assistant,7
Coaches’ assistant,coaches’ assistant,7
Vice–president of administration,vice-president of administration,6
Punting,punting,5
Vice president of player engagement,vice president of player engagement,5
Vice president of administration,vice president of administration,5
Vice President of Administration,vice president of administration,5
Owning entity,owning entity,5
Director of compliance,director of compliance,5
Executive vice president/chief brand officer,executive vice president/chief brand officer,5
Special assistant to the defense,special assistant to the defense,4
Executive vp,executive vp,4
Senior vice–president,senior vice-president,4
Chief Investment Officer,chief investment officer,4
Run game specialist,run game specialist,4
Chief investment officer,chief investment officer,4
Squad development,squad development,4
Executive VP,executive vp,4
Bill Willis diversity coaching fellow,bill willis diversity coaching fellow,4
Kicking,kicking,4
Specialists,specialists,4
Co–chairmen,co-chairmen,4
Film Coordinator,film coordinator,4
Office manager,office manager,3
Chief negotiator,chief negotiator,3
Sports scientist,sports scientist,3
Coordinator of football administration,coordinator of football administration,3
Nickel,nickel,3
Vice president of football operation and compliance,vice president of football operation and compliance,3
Executive Assistant,executive assistant,3
coordinator of football administration,coordinator of football administration,3
Assistant offensive coordinator/passing game,assistant offensive coordinator/passing game,3
NFL coaching fellowship/defense,nfl coaching fellowship/defense,3
Bill Walsh Diversity Coaching Fellowship,bill walsh diversity coaching fellowship,3
Executive assistant,executive assistant,3
Offense assistant,offense assistant,2
Defense assistant,defense assistant,2
Executive vice–president of administration,executive vice-president of administration,2
Field assistant,field assistant,2
Defensive intern,defensive intern,2
Director of Player Procurement,director of player procurement,2
Accounts coordinator,accounts coordinator,2
Stadium project manager,stadium project manager,2
Special Assistant/Defense,special assistant/defense,2
Mike Hickey,mike hickey,2
Director of player administration,director of player administration,2
Assistant to the offense,assistant to the offense,2
Director of player assessment,director of player assessment,2
Assistant to the general manager,assistant to the general manager,2
Director of player procurement,director of player procurement,2
Vice president of personnel,vice president of personnel,2
WCF minority fellowship,wcf minority fellowship,2
Director,director,2
