Team,Year,Error
Chicago Bears,1982,No staff section found (Step 1 failure)
Dallas Cowboys,1998,No staff section found (Step 1 failure)
Dallas Cowboys,1987,No staff section found (Step 1 failure)
Buffalo Bills,2004,No staff section found (Step 1 failure)
Cincinnati Bengals,1986,No staff section found (Step 1 failure)
Buffalo Bills,2003,No staff section found (Step 1 failure)
Dallas Cowboys,1997,No staff section found (Step 1 failure)
Chicago Bears,1981,No staff section found (Step 1 failure)
Buffalo Bills,1997,No staff section found (Step 1 failure)
Chicago Bears,1988,No staff section found (Step 1 failure)
Chicago Bears,1987,No staff section found (Step 1 failure)
Dallas Cowboys,2000,No staff section found (Step 1 failure)
Dallas Cowboys,1981,No staff section found (Step 1 failure)
Detroit Lions,1981,No staff section found (Step 1 failure)
Dallas Cowboys,1996,No staff section found (Step 1 failure)
Baltimore Ravens,2006,No staff section found (Step 1 failure)
Chicago Bears,1980,No staff section found (Step 1 failure)
Dallas Cowboys,1999,No staff section found (Step 1 failure)
Chicago Bears,2004,No staff section found (Step 1 failure)
Dallas Cowboys,1994,No staff section found (Step 1 failure)
Dallas Cowboys,1986,No staff section found (Step 1 failure)
Dallas Cowboys,2004,No staff section found (Step 1 failure)
Dallas Cowboys,1980,No staff section found (Step 1 failure)
Baltimore Ravens,2007,No staff section found (Step 1 failure)
Las Vegas Raiders,1996,No staff section found (Step 1 failure)
Detroit Lions,1982,No staff section found (Step 1 failure)
Dallas Cowboys,1982,No staff section found (Step 1 failure)
Dallas Cowboys,1989,No staff section found (Step 1 failure)
Los Angeles Rams,1997,No staff section found (Step 1 failure)
Detroit Lions,1986,No staff section found (Step 1 failure)
Detroit Lions,1983,No staff section found (Step 1 failure)
Detroit Lions,1984,No staff section found (Step 1 failure)
Los Angeles Rams,1998,No staff section found (Step 1 failure)
Dallas Cowboys,1984,No staff section found (Step 1 failure)
Cincinnati Bengals,1988,No staff section found (Step 1 failure)
Detroit Lions,1980,No staff section found (Step 1 failure)
Las Vegas Raiders,2006,No staff section found (Step 1 failure)
Los Angeles Rams,1986,No staff section found (Step 1 failure)
Los Angeles Rams,2005,No staff section found (Step 1 failure)
Detroit Lions,2006,No staff section found (Step 1 failure)
Los Angeles Rams,2003,No staff section found (Step 1 failure)
Miami Dolphins,1998,No staff section found (Step 1 failure)
Minnesota Vikings,1983,No staff section found (Step 1 failure)
Los Angeles Rams,2004,No staff section found (Step 1 failure)
Minnesota Vikings,1980,No staff section found (Step 1 failure)
Indianapolis Colts,2004,No staff section found (Step 1 failure)
Miami Dolphins,1995,No staff section found (Step 1 failure)
New York Jets,1999,No staff section found (Step 1 failure)
New York Jets,1984,No staff section found (Step 1 failure)
Dallas Cowboys,1988,No staff section found (Step 1 failure)
Las Vegas Raiders,2009,No staff section found (Step 1 failure)
Tampa Bay Buccaneers,1990,No staff section found (Step 1 failure)
Dallas Cowboys,1983,No staff section found (Step 1 failure)
Tampa Bay Buccaneers,1989,No staff section found (Step 1 failure)
Indianapolis Colts,2005,No staff section found (Step 1 failure)
New York Jets,1997,No staff section found (Step 1 failure)
Dallas Cowboys,2008,No staff section found (Step 1 failure)
Las Vegas Raiders,2008,No staff section found (Step 1 failure)
Los Angeles Rams,2002,No staff section found (Step 1 failure)
New York Jets,1983,No staff section found (Step 1 failure)
New York Giants,1989,No staff section found (Step 1 failure)
New York Giants,2005,No staff section found (Step 1 failure)
New York Jets,1998,No staff section found (Step 1 failure)
Washington Commanders,1989,No staff section found (Step 1 failure)
Minnesota Vikings,1982,No staff section found (Step 1 failure)
Dallas Cowboys,2003,No staff section found (Step 1 failure)
Washington Commanders,1990,No staff section found (Step 1 failure)
Jacksonville Jaguars,2008,No staff section found (Step 1 failure)
Los Angeles Rams,1984,No staff section found (Step 1 failure)
Washington Commanders,1993,No staff section found (Step 1 failure)
Dallas Cowboys,2007,No staff section found (Step 1 failure)
Washington Commanders,2003,No staff section found (Step 1 failure)
Washington Commanders,1988,No staff section found (Step 1 failure)
Dallas Cowboys,2009,No staff section found (Step 1 failure)
Tennessee Titans,2006,No staff section found (Step 1 failure)
Los Angeles Chargers,1986,No staff section found (Step 1 failure)
Washington Commanders,1986,No staff section found (Step 1 failure)
Los Angeles Chargers,1984,No staff section found (Step 1 failure)
New York Jets,1986,No staff section found (Step 1 failure)
New York Giants,1991,No staff section found (Step 1 failure)
Tennessee Titans,2007,No staff section found (Step 1 failure)
San Francisco 49ers,2004,No staff section found (Step 1 failure)
Tennessee Titans,2009,No staff section found (Step 1 failure)
Washington Commanders,1992,No staff section found (Step 1 failure)
Green Bay Packers,2007,No staff section found (Step 1 failure)
Los Angeles Chargers,2008,No staff section found (Step 1 failure)
Minnesota Vikings,1981,No staff section found (Step 1 failure)
Indianapolis Colts,2003,No staff section found (Step 1 failure)
Tennessee Titans,2008,No staff section found (Step 1 failure)
New York Giants,1992,No staff section found (Step 1 failure)
Los Angeles Chargers,2007,No staff section found (Step 1 failure)
Washington Commanders,1984,No staff section found (Step 1 failure)
Washington Commanders,1983,No staff section found (Step 1 failure)
Los Angeles Chargers,1983,No staff section found (Step 1 failure)
Los Angeles Chargers,2006,No staff section found (Step 1 failure)
Miami Dolphins,1999,No staff section found (Step 1 failure)
New York Giants,2003,No staff section found (Step 1 failure)
New York Giants,2004,No staff section found (Step 1 failure)
Kansas City Chiefs,2007,No staff section found (Step 1 failure)
New York Jets,1982,No staff section found (Step 1 failure)
New York Giants,1999,No staff section found (Step 1 failure)
New York Giants,1997,No staff section found (Step 1 failure)
Cleveland Browns,1996,No staff section found (Step 1 failure)
Cleveland Browns,1997,No staff section found (Step 1 failure)
Indianapolis Colts,2006,No staff section found (Step 1 failure)
Cleveland Browns,1998,No staff section found (Step 1 failure)
