role_category.x,side_of_ball.x,role_category.y,side_of_ball.y
Specialist Coach,Defense,Specialist Coach,Defense
Specialist Coach,Defense,Position Coach - Offense,Offense
Specialist Coach,Defense,Specialist Coach,Offense
Specialist Coach,Defense,Specialist Coach,Both
Specialist Coach,Defense,Position Coach - Defense,Defense
Specialist Coach,Defense,Specialist Coordinator,Special Teams
Specialist Coach,Defense,Defensive Coordinator,Defense
Specialist Coach,Defense,Head Coach,Both
Specialist Coach,Defense,Offensive Coordinator,Offense
Specialist Coach,Defense,Specialist Coordinator,Offense
Specialist Coach,Defense,Position Coach - Special Teams,Special Teams
Specialist Coach,Defense,Specialist Coordinator,Defense
Specialist Coach,Defense,Specialist Coach,Special Teams
Position Coach - Offense,Offense,Specialist Coach,Defense
Position Coach - Offense,Offense,Position Coach - Offense,Offense
Position Coach - Offense,Offense,Specialist Coach,Offense
Position Coach - Offense,Offense,Specialist Coach,Both
Position Coach - Offense,Offense,Position Coach - Defense,Defense
Position Coach - Offense,Offense,Specialist Coordinator,Special Teams
Position Coach - Offense,Offense,Defensive Coordinator,Defense
Position Coach - Offense,Offense,Head Coach,Both
Position Coach - Offense,Offense,Offensive Coordinator,Offense
Position Coach - Offense,Offense,Specialist Coordinator,Offense
Position Coach - Offense,Offense,Position Coach - Special Teams,Special Teams
Position Coach - Offense,Offense,Specialist Coordinator,Defense
Position Coach - Offense,Offense,Specialist Coach,Special Teams
Specialist Coach,Offense,Specialist Coach,Defense
Specialist Coach,Offense,Position Coach - Offense,Offense
Specialist Coach,Offense,Specialist Coach,Offense
Specialist Coach,Offense,Specialist Coach,Both
Specialist Coach,Offense,Position Coach - Defense,Defense
Specialist Coach,Offense,Specialist Coordinator,Special Teams
Specialist Coach,Offense,Defensive Coordinator,Defense
Specialist Coach,Offense,Head Coach,Both
Specialist Coach,Offense,Offensive Coordinator,Offense
Specialist Coach,Offense,Specialist Coordinator,Offense
Specialist Coach,Offense,Position Coach - Special Teams,Special Teams
Specialist Coach,Offense,Specialist Coordinator,Defense
Specialist Coach,Offense,Specialist Coach,Special Teams
Specialist Coach,Both,Specialist Coach,Defense
Specialist Coach,Both,Position Coach - Offense,Offense
