coach,coach_id
Alec Osborne,1
John Pease,2
Steve Sidwell,3
Paul Boudreau,4
Steve Walters,5
Jim Skipper,6
Carl Smith,7
Jim Mora,8
Dom Capers,9
Ned James,10
Jack Del Rio,11
Walt Corey,12
Zaven Yaralian,13
Judd Garrett,14
Dick Stanfel,15
Dan Neal,16
Harold Jackson,17
Lary Kuharich,18
Tom Clements,19
Danny Abramowicz,20
Rick Venturi,21
Vic Fangio,22
Bum Phillips,23
Jack Henry,24
Al Everest,25
Joe Alley,26
Ty Knott,27
Greg Brown,28
Joe Baker,29
Winston Moss,30
Chip Beake,31
Bob Palcic,32
Danny Langsdorf,33
Jimmy Robinson,34
Dave Atkins,35
Mike Sheppard,36
Mike McCarthy,37
Jim Haslett,38
Mike Ditka,39
Nick Nicolau,40
Jim L. Mora,41
Fred Glick,42
Tom Pratt,43
Ed Beard,44
Lamar McHan,45
Ed Hughes,46
Dick Nolan,47
Lance Van Zandt,48
John Paul Young,49
Willie Zapalac,50
Wade Phillips,51
Joe Spencer,52
John Levra,53
Larry Kennan,54
Frank Warren,55
Wayne Nunnely,56
Monte Kiffin,57
John Matsko,58
Mike Woodford,59
Tom Moore,60
Sam Clancy,61
Ron Zook,62
Jim Hostler,63
Hubbard Alexander,64
Frank Cignetti Jr.,65
John Pagano,66
Willie Shaw,67
Everett Withers,68
Chip Myers,69
John Misciagna,70
King Hill,71
Rod Rust,72
Steve Nelson,73
Don Blackmon,74
Dale Lindsey,75
Charlie Sumner,76
Rod Humenuik,77
Richard Wood,78
Bobby Grier,79
Jimmy Raye,80
John Polonchek,81
Jim Erkenbeck,82
Mark Hatley,83
Carl Mauck,84
Harold Richardson,85
Bob Trott,86
Dante Scarnecchia,87
Romeo Crennel,88
Al Groh,89
Maurice Carthon,90
Fred Hoaglin,91
Mike Pope,92
Chris Palmer,93
Charlie Weis,94
Ray Perkins,95
Bill Parcells,96
Jim Carr,97
Don Shinnick,98
Ray Hamilton,99
Eddie Khayat,100
Guy Morriss,101
Jimmy Carr,102
Raymond Berry,103
Jeff Davidson,104
Bruce Arians,105
Les Steckel,106
Marcus Ungaro,107
Greg McMahon,108
Tony Oden,109
Dennis Allen,110
Travis Jones,111
Bill Johnson,112
Gregg Williams,113
Frank Smith,114
Aaron Kromer,115
Terry Malone,116
Curtis Johnson,117
Bret Ingalls,118
Joe Lombardi,119
"Pete Carmichael, Jr.",120
Dan Reeves,121
Earl Leggett,122
Mike Nolan,123
Pete Mangurian,124
James Daniel,125
Dick Rehbein,126
George Sefcik,127
Steve DeBerg,128
George Henshaw,129
Joe Vitt,130
Sean Payton,131
Ray Handley,132
Mike Sweatman,133
Len Fontes,134
Lamar Leachman,135
Bill Belichick,136
Pat Hodgson,137
Ron Erhardt,138
Tom Bresnahan,139
Bob Ledbetter,140
Bob Lord,141
Bill Austin,142
Ernie Adams,143
Kerry Goode,144
Joe Walton,145
Ray Callahan,146
Mike Faulkiner,147
Jim Vechiarella,148
Bud Carson,149
Dan Radakovich,150
Bobby Hammond,151
Zeke Bratkowski,152
Bruce Coslet,153
Walt Harris,154
Rod Dowhower,155
Jim Fassel,156
Al Roberts,157
Ed Donatell,158
Foge Fazio,159
Greg Robinson,160
Pete Carroll,161
Paul Alexander,162
Larry Beightol,163
Johnny Roland,164
Rich Kotite,165
Dave Brazil,166
Johnnie Lynn,167
Tom Olivadotti,168
Denny Marcin,169
John Fox,170
Jim McNally,171
Mike Gillhamer,172
Bob Wylie,173
Kippy Brown,174
Joe Daniels,175
Willy Robinson,176
Jim Pyne,177
Turk Schonert,178
Doug Marrone,179
Ralph Hawkins,180
John Bonamego,181
Tom Hayes,182
Marion Hobby,183
Gary Gibbs,184
John Bunting,185
Phil Pettey,186
Mike Riley,187
Deek Pollard,188
