role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup,side_of_ball
Administrative,administrative,Administrative & Operations,Administrative/Operations,,,N/A
Administrative assistant,administrative assistant,Administrative & Operations,Administrative/Operations,,,N/A
Administrative Assistant,administrative assistant,Administrative & Operations,Administrative/Operations,,,N/A
Administrative assistant/coaching,administrative assistant/coaching,Administrative & Operations,Administrative/Operations,,,N/A
Administrative Assistant/Defense,administrative assistant/defense,Administrative & Operations,Administrative/Operations,,,N/A
Administrative assistant/football operations,administrative assistant/football operations,Administrative & Operations,Administrative/Operations,,,N/A
Administrator of football operations,administrator of football operations,Administrative & Operations,Administrative/Operations,,,N/A
Administrator of Football Operations,administrator of football operations,Administrative & Operations,Administrative/Operations,,,N/A
Assistant director of player operations,assistant director of player operations,Administrative & Operations,Administrative/Operations,,,N/A
Chief operations officer,chief operations officer,Administrative & Operations,Administrative/Operations,,,N/A
Client services administrator,client services administrator,Administrative & Operations,Administrative/Operations,,,N/A
Coaches administrative assistant,coaches administrative assistant,Administrative & Operations,Administrative/Operations,,,N/A
Coaching administrative assistant,coaching administrative assistant,Administrative & Operations,Administrative/Operations,,,N/A
Coaching Administrator,coaching administrator,Administrative & Operations,Administrative/Operations,,,N/A
Coaching Administrator and Financial Liaison,coaching administrator and financial liaison,Administrative & Operations,Administrative/Operations,,,N/A
Coaching operations assistant,coaching operations assistant,Administrative & Operations,Administrative/Operations,,,N/A
Corporate Assistant to the President,corporate assistant to the president,Administrative & Operations,Administrative/Operations,,,N/A
Corporate assistant to the president,corporate assistant to the president,Administrative & Operations,Administrative/Operations,,,N/A
Director of coaching operations,director of coaching operations,Administrative & Operations,Administrative/Operations,,,N/A
Director of operations,director of operations,Administrative & Operations,Administrative/Operations,,,N/A
Director of personnel operations,director of personnel operations,Administrative & Operations,Administrative/Operations,,,N/A
Director of Player Operations,director of player operations,Administrative & Operations,Administrative/Operations,,,N/A
Director of team operations,director of team operations,Administrative & Operations,Administrative/Operations,,,N/A
Executive administrative assistant,executive administrative assistant,Administrative & Operations,Administrative/Operations,,,N/A
Executive vice–president of football operations,executive vice-president of football operations,Administrative & Operations,Administrative/Operations,,,N/A
Football operations,football operations,Administrative & Operations,Administrative/Operations,,,N/A
Football operations assistant,football operations assistant,Administrative & Operations,Administrative/Operations,,,N/A
Football operations executive,football operations executive,Administrative & Operations,Administrative/Operations,,,N/A
Human relations/office coordinator,human relations/office coordinator,Administrative & Operations,Administrative/Operations,,,N/A
Network administrator,network administrator,Administrative & Operations,Administrative/Operations,,,N/A
Payroll/benefits administrator,payroll/benefits administrator,Administrative & Operations,Administrative/Operations,,,N/A
Scouting administrator,scouting administrator,Administrative & Operations,Administrative/Operations,,,N/A
Senior director of coaching operations,senior director of coaching operations,Administrative & Operations,Administrative/Operations,,,N/A
Senior football administrator,senior football administrator,Administrative & Operations,Administrative/Operations,,,N/A
Senior manager of coaching operations,senior manager of coaching operations,Administrative & Operations,Administrative/Operations,,,N/A
Senior vice president of coaching operations,senior vice president of coaching operations,Administrative & Operations,Administrative/Operations,,,N/A
Senior Vice President/Chief Administrative Officer,senior vice president/chief administrative officer,Administrative & Operations,Administrative/Operations,,,N/A
Special Assistant to the President,special assistant to the president,Administrative & Operations,Administrative/Operations,,,N/A
Vice President of Operations,vice president of operations,Administrative & Operations,Administrative/Operations,,,N/A
Vice–president of football operations,vice-president of football operations,Administrative & Operations,Administrative/Operations,,,N/A
Vice–president of operations,vice-president of operations,Administrative & Operations,Administrative/Operations,,,N/A
Vice–president of player operations,vice-president of player operations,Administrative & Operations,Administrative/Operations,,,N/A
Website/network administrator,website/network administrator,Administrative & Operations,Administrative/Operations,,,N/A
Administration advisor,administration advisor,Administrative & Operations,Advisor/Consultant,,,N/A
Advisor,advisor,Administrative & Operations,Advisor/Consultant,,,N/A
Advisor to the GM,advisor to the gm,Administrative & Operations,Advisor/Consultant,,,N/A
Coaching advisor,coaching advisor,Administrative & Operations,Advisor/Consultant,,,N/A
Consultant,consultant,Administrative & Operations,Advisor/Consultant,,,N/A
Executive advisor,executive advisor,Administrative & Operations,Advisor/Consultant,,,N/A
Executive advisors,executive advisors,Administrative & Operations,Advisor/Consultant,,,N/A
Offseason speed consultant,offseason speed consultant,Administrative & Operations,Advisor/Consultant,,,N/A
Senior advisor,senior advisor,Administrative & Operations,Advisor/Consultant,,,N/A
Senior advisor to football operations,senior advisor to football operations,Administrative & Operations,Advisor/Consultant,,,N/A
Senior advisor to the GM/football operations,senior advisor to the gm/football operations,Administrative & Operations,Advisor/Consultant,,,N/A
Senior advisors,senior advisors,Administrative & Operations,Advisor/Consultant,,,N/A
Senior assistant,senior assistant,Administrative & Operations,Advisor/Consultant,,,N/A
Senior coaching consultant,senior coaching consultant,Administrative & Operations,Advisor/Consultant,,,N/A
Senior consultant,senior consultant,Administrative & Operations,Advisor/Consultant,,,N/A
Senior football consultant,senior football consultant,Administrative & Operations,Advisor/Consultant,,,N/A
Special advisor,special advisor,Administrative & Operations,Advisor/Consultant,,,N/A
Special Advisor,special advisor,Administrative & Operations,Advisor/Consultant,,,N/A
Special Assistant,special assistant,Administrative & Operations,Advisor/Consultant,,,N/A
Special assistant,special assistant,Administrative & Operations,Advisor/Consultant,,,N/A
Special Assistant/Head of Innovation,special assistant/head of innovation,Administrative & Operations,Advisor/Consultant,,,N/A
Vice president and senior advisor,vice president and senior advisor,Administrative & Operations,Advisor/Consultant,,,N/A
Business & Football Administration coordinator,business & football administration coordinator,Administrative & Operations,Business Operations,,,N/A
Business & football administration coordinator,business & football administration coordinator,Administrative & Operations,Business Operations,,,N/A
Business accounting coordinator,business accounting coordinator,Administrative & Operations,Business Operations,,,N/A
Business administration,business administration,Administrative & Operations,Business Operations,,,N/A
Business coordinator,business coordinator,Administrative & Operations,Business Operations,,,N/A
Business manager,business manager,Administrative & Operations,Business Operations,,,N/A
Business operations,business operations,Administrative & Operations,Business Operations,,,N/A
Business operations coordinator,business operations coordinator,Administrative & Operations,Business Operations,,,N/A
